
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
182.562,,Segment,3,1,Image 1,1,1,100000006,510000001027,
194.625,,Segment,3,3,Image 1,2,1,100000006,510000001041,
187.031,,Segment,3,3,Image 1,2,1,100000006,510000001060,
182.062,,Segment,3,1,Image 1,1,1,100000006,510000001090,
88.0078,,Segment,3,2,Image 1,1,1,100000007,510000001100,
132.031,,Segment,3,3,Image 1,1,1,100000007,510000001103,
156.062,,Segment,3,4,Image 1,1,1,100000007,510000001107,
193.016,,Segment,3,5,Image 1,1,1,100000007,510000001119,
193.016,,Segment,3,5,Image 1,2,1,100000007,510000001123,
147.062,,Segment,3,3,Image 1,2,1,100000007,510000001133,
188.016,,Segment,3,4,Image 1,2,1,100000007,510000001136,
185.031,,Segment,3,4,Image 1,3,1,100000007,510000001147,
185.062,,Segment,3,3,Image 1,1,1,100000007,510000001157,
165.062,,Segment,3,3,Image 1,2,1,100000007,510000001178,
180.562,,Segment,3,4,Image 1,2,1,100000007,510000001191,
163.062,,Segment,3,4,Image 1,3,1,100000007,510000001202,
181.062,,Segment,3,2,Image 1,2,1,100000007,510000001210,
93.5156,,Segment,3,1,Image 1,1,1,100000007,510000001236,
132.062,,Segment,3,2,Image 1,1,1,100000007,510000001238,
167.062,,Segment,3,2,Image 1,2,1,100000007,510000001254,
178.125,,Segment,3,2,Image 1,2,1,100000007,510000001270,
158.031,,Segment,3,4,Image 1,2,1,100000007,510000001294,
133.125,,Segment,3,1,Image 1,1,1,100000008,510000001301,
157.625,,Segment,3,1,Image 1,1,1,100000008,510000001322,
156.125,,Segment,3,1,Image 1,1,1,100000008,510000001349,
159.125,,Segment,3,1,Image 1,1,1,100000008,510000001360,
100.062,,Segment,3,1,Image 1,1,1,100000008,510000001373,
132.625,,Segment,3,2,Image 1,1,1,100000008,510000001375,
151.016,,Segment,3,3,Image 1,1,1,100000008,510000001384,
127.031,,Segment,3,3,Image 1,2,1,100000008,510000001387,
85.0625,,Segment,3,4,Image 1,2,1,100000008,510000001391,
144.062,,Segment,3,4,Image 1,3,1,100000008,510000001408,
156.031,,Segment,3,2,Image 1,2,1,100000008,510000001424,
158.062,,Segment,3,2,Image 1,1,1,100000009,510000001441,
173.062,,Segment,3,2,Image 1,2,1,100000009,510000001449,
182.625,,Segment,3,1,Image 1,1,1,100000009,510000001468,
81.0625,,Segment,3,1,Image 1,1,1,100000009,510000001489,
122.016,,Segment,3,2,Image 1,2,1,100000009,510000001491,
185.125,,Segment,3,3,Image 1,1,1,100000009,510000001494,
175.031,,Segment,3,3,Image 1,2,1,100000009,510000001510,
183.125,,Segment,3,1,Image 1,1,1,100000009,510000001514,
131.125,,Segment,3,1,Image 1,1,1,100000009,510000001533,
162.125,,Segment,3,1,Image 1,1,1,100000010,510000001537,
147.125,,Segment,3,2,Image 1,1,1,100000010,510000001541,
178.062,,Segment,3,2,Image 1,2,1,100000010,510000001558,
165.125,,Segment,3,2,Image 1,1,1,100000010,510000001575,
