
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
112235,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000004,800000077,
112206,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000078,
112347,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000079,
112339,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000080,
112368,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000081,
112297,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000082,
112260,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000083,
112242,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000004,800000084,
112273,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000085,
112219,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000086,
112163,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000087,
112224,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000088,
112119,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000089,
112177,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000090,
112181,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000091,
112116,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000092,
112217,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000093,
112189,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000094,
112251,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000095,
112343,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000096,
112241,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000097,
112168,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000004,800000098,
112160,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000099,
112900,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000005,800000100,
112822,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000101,
113008,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000102,
112908,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000103,
112928,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000104,
112933,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000105,
112889,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000106,
112822,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000107,
112920,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000108,
112903,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000109,
112973,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000110,
112902,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000111,
112879,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000112,
112862,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000113,
112892,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000114,
112875,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000115,
112898,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000005,800000116,
112934,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000117,
112804,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000006,800000118,
112701,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000119,
112797,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000120,
