
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Segment,2,2,1,100000004,510000000740,
2,,Segment,3,2,1,100000004,510000000743,
2,,Segment,4,2,1,100000004,510000000745,
2,,Segment,2,2,1,100000004,510000000751,
3,,Segment,3,3,1,100000004,510000000756,
2,,Segment,2,2,1,100000004,510000000766,
2,,Segment,2,2,1,100000004,510000000771,
2,,Segment,3,2,1,100000004,510000000784,
1,,Segment,2,1,1,100000005,510000000789,
2,,Segment,2,2,1,100000005,510000000803,
2,,Segment,2,2,1,100000005,510000000827,
2,,Segment,2,2,1,100000005,510000000841,
2,,Segment,2,2,1,100000005,510000000846,
1,,Segment,2,1,1,100000005,510000000866,
1,,Segment,3,1,1,100000005,510000000869,
2,,Segment,2,2,1,100000005,510000000880,
2,,Segment,3,2,1,100000005,510000000897,
1,,Segment,2,1,1,100000005,510000000911,
1,,Segment,3,1,1,100000005,510000000913,
2,,Segment,3,2,1,100000005,510000000942,
2,,Segment,4,2,1,100000005,510000000947,
3,,Segment,4,3,1,100000005,510000000964,
1,,Segment,3,1,1,100000006,510000000982,
2,,Segment,2,2,1,100000006,510000001003,
1,,Segment,1,1,1,100000006,510000001027,
2,,Segment,3,2,1,100000006,510000001041,
2,,Segment,3,2,1,100000006,510000001060,
1,,Segment,1,1,1,100000006,510000001090,
1,,Segment,2,1,1,100000007,510000001100,
1,,Segment,3,1,1,100000007,510000001103,
1,,Segment,4,1,1,100000007,510000001107,
1,,Segment,5,1,1,100000007,510000001119,
2,,Segment,5,2,1,100000007,510000001123,
2,,Segment,3,2,1,100000007,510000001133,
2,,Segment,4,2,1,100000007,510000001136,
3,,Segment,4,3,1,100000007,510000001147,
1,,Segment,3,1,1,100000007,510000001157,
2,,Segment,3,2,1,100000007,510000001178,
2,,Segment,4,2,1,100000007,510000001191,
3,,Segment,4,3,1,100000007,510000001202,
2,,Segment,2,2,1,100000007,510000001210,
1,,Segment,1,1,1,100000007,510000001236,
1,,Segment,2,1,1,100000007,510000001238,
2,,Segment,2,2,1,100000007,510000001254,
2,,Segment,2,2,1,100000007,510000001270,
2,,Segment,4,2,1,100000007,510000001294,
1,,Segment,1,1,1,100000008,510000001301,
1,,Segment,1,1,1,100000008,510000001322,
1,,Segment,1,1,1,100000008,510000001349,
1,,Segment,1,1,1,100000008,510000001360,
1,,Segment,1,1,1,100000008,510000001373,
1,,Segment,2,1,1,100000008,510000001375,
1,,Segment,3,1,1,100000008,510000001384,
2,,Segment,3,2,1,100000008,510000001387,
2,,Segment,4,2,1,100000008,510000001391,
3,,Segment,4,3,1,100000008,510000001408,
2,,Segment,2,2,1,100000008,510000001424,
