
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3260,,Segment,1,2,Image 1,1,1,100000007,510000001100,
3005,,Segment,1,3,Image 1,1,1,100000007,510000001103,
5725,,Segment,1,4,Image 1,1,1,100000007,510000001107,
1667,,Segment,1,5,Image 1,1,1,100000007,510000001119,
3257,,Segment,1,5,Image 1,2,1,100000007,510000001123,
1857,,Segment,1,3,Image 1,2,1,100000007,510000001133,
3624,,Segment,1,4,Image 1,2,1,100000007,510000001136,
3189,,Segment,1,4,Image 1,3,1,100000007,510000001147,
8039,,Segment,1,3,Image 1,1,1,100000007,510000001157,
5744,,Segment,1,3,Image 1,2,1,100000007,510000001178,
3559,,Segment,1,4,Image 1,2,1,100000007,510000001191,
3573,,Segment,1,4,Image 1,3,1,100000007,510000001202,
11767,,Segment,1,2,Image 1,2,1,100000007,510000001210,
7958,,Segment,1,1,Image 1,1,1,100000007,510000001236,
7682,,Segment,1,2,Image 1,1,1,100000007,510000001238,
6609,,Segment,1,2,Image 1,2,1,100000007,510000001254,
11547,,Segment,1,2,Image 1,2,1,100000007,510000001270,
3817,,Segment,1,4,Image 1,2,1,100000007,510000001294,
24244,,Segment,1,1,Image 1,1,1,100000008,510000001301,
33542,,Segment,1,1,Image 1,1,1,100000008,510000001322,
18555,,Segment,1,1,Image 1,1,1,100000008,510000001349,
18393,,Segment,1,1,Image 1,1,1,100000008,510000001360,
10951,,Segment,1,1,Image 1,1,1,100000008,510000001373,
8067,,Segment,1,2,Image 1,1,1,100000008,510000001375,
2917,,Segment,1,3,Image 1,1,1,100000008,510000001384,
3616,,Segment,1,3,Image 1,2,1,100000008,510000001387,
13547,,Segment,1,4,Image 1,2,1,100000008,510000001391,
13925,,Segment,1,4,Image 1,3,1,100000008,510000001408,
11337,,Segment,1,2,Image 1,2,1,100000008,510000001424,
4593,,Segment,1,2,Image 1,1,1,100000009,510000001441,
8739,,Segment,1,2,Image 1,2,1,100000009,510000001449,
18321,,Segment,1,1,Image 1,1,1,100000009,510000001468,
7324,,Segment,1,1,Image 1,1,1,100000009,510000001489,
1153,,Segment,1,2,Image 1,2,1,100000009,510000001491,
6011,,Segment,1,3,Image 1,1,1,100000009,510000001494,
2464,,Segment,1,3,Image 1,2,1,100000009,510000001510,
17402,,Segment,1,1,Image 1,1,1,100000009,510000001514,
9224,,Segment,1,1,Image 1,1,1,100000009,510000001533,
21963,,Segment,1,1,Image 1,1,1,100000010,510000001537,
20374,,Segment,1,2,Image 1,1,1,100000010,510000001541,
14785,,Segment,1,2,Image 1,2,1,100000010,510000001558,
10948,,Segment,1,2,Image 1,1,1,100000010,510000001575,
20684,,Segment,1,2,Image 1,2,1,100000010,510000001584,
17442,,Segment,1,2,Image 1,2,1,100000010,510000001609,
24630,,Segment,1,1,Image 1,1,1,100000010,510000001626,
3060,,Segment,1,2,Image 1,1,1,100000010,510000001636,
8423,,Segment,1,2,Image 1,2,1,100000010,510000001640,
2934,,Segment,1,3,Image 1,2,1,100000010,510000001649,
6480,,Segment,1,3,Image 1,3,1,100000010,510000001652,
5908,,Segment,1,2,Image 1,1,1,100000010,510000001659,
8477,,Segment,1,3,Image 1,1,1,100000010,510000001662,
8808,,Segment,1,3,Image 1,2,1,100000010,510000001672,
30144,,Segment,1,2,Image 1,1,1,100000011,510000001682,
14311,,Segment,1,2,Image 1,2,1,100000011,510000001692,
38403,,Segment,1,3,Image 1,3,1,100000011,510000001695,
9340,,Segment,1,2,Image 1,1,1,100000011,510000001716,
14209,,Segment,1,3,Image 1,2,1,100000011,510000001718,
17276,,Segment,1,3,Image 1,1,1,100000011,510000001719,
47082,,Segment,1,1,Image 1,1,1,100000011,510000001726,
140541,,Segment,1,1,Image 1,1,1,100000000,510000001736,
139117,,Segment,1,1,Image 1,1,1,100000000,510000001737,
7764,,Segment,1,1,Image 1,1,1,100000001,510000001738,
12721,,Segment,1,1,Image 1,1,1,100000002,510000001739,
840,,Segment,1,2,Image 1,1,1,100000002,510000001740,
12226,,Segment,1,1,Image 1,1,1,100000002,510000001741,
940,,Segment,1,2,Image 1,1,1,100000002,510000001742,
504,,Segment,1,3,Image 1,1,1,100000002,510000001743,
5878,,Segment,1,0,Image 1,1,1,100000003,510000001744,
5697,,Segment,1,1,Image 1,2,1,100000003,510000001745,
5760,,Segment,1,0,Image 1,1,1,100000003,510000001746,
47324,,Segment,1,1,Image 1,1,1,100000004,510000001747,
41486,,Segment,1,1,Image 1,1,1,100000004,510000001748,
2008,,Segment,1,4,Image 1,3,1,100000004,510000001749,
8160,,Segment,1,1,Image 1,1,1,100000005,510000001750,
7978,,Segment,1,1,Image 1,1,1,100000005,510000001751,
7515,,Segment,1,1,Image 1,1,1,100000005,510000001752,
7370,,Segment,1,1,Image 1,1,1,100000006,510000001753,
1097,,Segment,1,2,Image 1,1,1,100000006,510000001754,
6474,,Segment,1,1,Image 1,1,1,100000007,510000001755,
6855,,Segment,1,1,Image 1,1,1,100000007,510000001756,
1889,,Segment,1,2,Image 1,1,1,100000007,510000001757,
6897,,Segment,1,1,Image 1,1,1,100000009,510000001758,
1299,,Segment,1,2,Image 1,1,1,100000009,510000001759,
17086,,Segment,1,1,Image 1,1,1,100000010,510000001760,
18053,,Segment,1,1,Image 1,1,1,100000010,510000001761,
43320,,Segment,1,1,Image 1,1,1,100000011,510000001762,
7138,,Segment,1,3,Image 1,2,1,100000011,510000001763,
42595,,Segment,1,1,Image 1,1,1,100000011,510000001764,
9992,,Segment,1,2,Image 1,2,1,100000011,510000001765,
