
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
1566.5,µm,Filament,1,100000000,
837.683,µm,Filament,1,100000001,
707.435,µm,Filament,1,100000002,
849.86,µm,Filament,1,100000003,
1096.02,µm,Filament,1,100000004,
901.188,µm,Filament,1,100000005,
574.91,µm,Filament,1,100000006,
1037.65,µm,Filament,1,100000007,
679.65,µm,Filament,1,100000008,
551.493,µm,Filament,1,100000009,
765.808,µm,Filament,1,100000010,
634.817,µm,Filament,1,100000011,
