
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
12.5656,µm,Segment,Segment Position,3,2,1,100000005,510000000942,
-8.79136,µm,Segment,Segment Position,4,2,1,100000005,510000000947,
-7.12775,µm,Segment,Segment Position,4,3,1,100000005,510000000964,
10.9791,µm,Segment,Segment Position,3,1,1,100000006,510000000982,
12.8715,µm,Segment,Segment Position,2,2,1,100000006,510000001003,
14.0744,µm,Segment,Segment Position,1,1,1,100000006,510000001027,
-2.8897,µm,Segment,Segment Position,3,2,1,100000006,510000001041,
14.4716,µm,Segment,Segment Position,3,2,1,100000006,510000001060,
19.6514,µm,Segment,Segment Position,1,1,1,100000006,510000001090,
18.6095,µm,Segment,Segment Position,2,1,1,100000007,510000001100,
17.447,µm,Segment,Segment Position,3,1,1,100000007,510000001103,
13.1471,µm,Segment,Segment Position,4,1,1,100000007,510000001107,
11.0196,µm,Segment,Segment Position,5,1,1,100000007,510000001119,
4.81371,µm,Segment,Segment Position,5,2,1,100000007,510000001123,
18.0504,µm,Segment,Segment Position,3,2,1,100000007,510000001133,
15.6476,µm,Segment,Segment Position,4,2,1,100000007,510000001136,
18.8468,µm,Segment,Segment Position,4,3,1,100000007,510000001147,
7.51119,µm,Segment,Segment Position,3,1,1,100000007,510000001157,
10.8668,µm,Segment,Segment Position,3,2,1,100000007,510000001178,
0.688686,µm,Segment,Segment Position,4,2,1,100000007,510000001191,
8.7566,µm,Segment,Segment Position,4,3,1,100000007,510000001202,
9.51302,µm,Segment,Segment Position,2,2,1,100000007,510000001210,
20.4706,µm,Segment,Segment Position,1,1,1,100000007,510000001236,
17.3399,µm,Segment,Segment Position,2,1,1,100000007,510000001238,
9.54131,µm,Segment,Segment Position,2,2,1,100000007,510000001254,
14.1076,µm,Segment,Segment Position,2,2,1,100000007,510000001270,
18.1254,µm,Segment,Segment Position,4,2,1,100000007,510000001294,
14.6762,µm,Segment,Segment Position,1,1,1,100000008,510000001301,
8.90658,µm,Segment,Segment Position,1,1,1,100000008,510000001322,
7.13948,µm,Segment,Segment Position,1,1,1,100000008,510000001349,
6.5562,µm,Segment,Segment Position,1,1,1,100000008,510000001360,
2.564,µm,Segment,Segment Position,1,1,1,100000008,510000001373,
2.89684,µm,Segment,Segment Position,2,1,1,100000008,510000001375,
10.0232,µm,Segment,Segment Position,3,1,1,100000008,510000001384,
11.7017,µm,Segment,Segment Position,3,2,1,100000008,510000001387,
18.5298,µm,Segment,Segment Position,4,2,1,100000008,510000001391,
17.6341,µm,Segment,Segment Position,4,3,1,100000008,510000001408,
-12.1922,µm,Segment,Segment Position,2,2,1,100000008,510000001424,
18.2884,µm,Segment,Segment Position,2,1,1,100000009,510000001441,
17.2156,µm,Segment,Segment Position,2,2,1,100000009,510000001449,
17.6621,µm,Segment,Segment Position,1,1,1,100000009,510000001468,
16.8291,µm,Segment,Segment Position,1,1,1,100000009,510000001489,
15.7383,µm,Segment,Segment Position,2,2,1,100000009,510000001491,
12.7375,µm,Segment,Segment Position,3,1,1,100000009,510000001494,
14.2565,µm,Segment,Segment Position,3,2,1,100000009,510000001510,
16.4376,µm,Segment,Segment Position,1,1,1,100000009,510000001514,
16.4462,µm,Segment,Segment Position,1,1,1,100000009,510000001533,
-2.02366,µm,Segment,Segment Position,1,1,1,100000010,510000001537,
-2.94161,µm,Segment,Segment Position,2,1,1,100000010,510000001541,
1.63806,µm,Segment,Segment Position,2,2,1,100000010,510000001558,
-0.856174,µm,Segment,Segment Position,2,1,1,100000010,510000001575,
-2.24335,µm,Segment,Segment Position,2,2,1,100000010,510000001584,
7.38316,µm,Segment,Segment Position,2,2,1,100000010,510000001609,
-6.08713,µm,Segment,Segment Position,1,1,1,100000010,510000001626,
-5.24127,µm,Segment,Segment Position,2,1,1,100000010,510000001636,
-3.17284,µm,Segment,Segment Position,2,2,1,100000010,510000001640,
-0.268286,µm,Segment,Segment Position,3,2,1,100000010,510000001649,
-0.301447,µm,Segment,Segment Position,3,3,1,100000010,510000001652,
3.679,µm,Segment,Segment Position,2,1,1,100000010,510000001659,
7.7547,µm,Segment,Segment Position,3,1,1,100000010,510000001662,
