
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,4,3,1,100000007,510000001202,
0,1/10µm,Segment,2,2,1,100000007,510000001210,
0,1/10µm,Segment,1,1,1,100000007,510000001236,
0,1/10µm,Segment,2,1,1,100000007,510000001238,
0,1/10µm,Segment,2,2,1,100000007,510000001254,
0,1/10µm,Segment,2,2,1,100000007,510000001270,
0,1/10µm,Segment,4,2,1,100000007,510000001294,
0,1/10µm,Segment,1,1,1,100000008,510000001301,
0,1/10µm,Segment,1,1,1,100000008,510000001322,
0,1/10µm,Segment,1,1,1,100000008,510000001349,
0,1/10µm,Segment,1,1,1,100000008,510000001360,
0,1/10µm,Segment,1,1,1,100000008,510000001373,
0,1/10µm,Segment,2,1,1,100000008,510000001375,
0,1/10µm,Segment,3,1,1,100000008,510000001384,
0,1/10µm,Segment,3,2,1,100000008,510000001387,
0,1/10µm,Segment,4,2,1,100000008,510000001391,
0,1/10µm,Segment,4,3,1,100000008,510000001408,
0,1/10µm,Segment,2,2,1,100000008,510000001424,
0,1/10µm,Segment,2,1,1,100000009,510000001441,
0,1/10µm,Segment,2,2,1,100000009,510000001449,
0,1/10µm,Segment,1,1,1,100000009,510000001468,
0,1/10µm,Segment,1,1,1,100000009,510000001489,
0,1/10µm,Segment,2,2,1,100000009,510000001491,
0,1/10µm,Segment,3,1,1,100000009,510000001494,
0,1/10µm,Segment,3,2,1,100000009,510000001510,
0,1/10µm,Segment,1,1,1,100000009,510000001514,
0,1/10µm,Segment,1,1,1,100000009,510000001533,
0,1/10µm,Segment,1,1,1,100000010,510000001537,
0,1/10µm,Segment,2,1,1,100000010,510000001541,
0,1/10µm,Segment,2,2,1,100000010,510000001558,
0,1/10µm,Segment,2,1,1,100000010,510000001575,
0,1/10µm,Segment,2,2,1,100000010,510000001584,
0,1/10µm,Segment,2,2,1,100000010,510000001609,
0,1/10µm,Segment,1,1,1,100000010,510000001626,
0,1/10µm,Segment,2,1,1,100000010,510000001636,
0,1/10µm,Segment,2,2,1,100000010,510000001640,
0,1/10µm,Segment,3,2,1,100000010,510000001649,
0,1/10µm,Segment,3,3,1,100000010,510000001652,
0,1/10µm,Segment,2,1,1,100000010,510000001659,
0,1/10µm,Segment,3,1,1,100000010,510000001662,
0,1/10µm,Segment,3,2,1,100000010,510000001672,
0,1/10µm,Segment,2,1,1,100000011,510000001682,
0,1/10µm,Segment,2,2,1,100000011,510000001692,
0,1/10µm,Segment,3,3,1,100000011,510000001695,
0,1/10µm,Segment,2,1,1,100000011,510000001716,
0,1/10µm,Segment,3,2,1,100000011,510000001718,
0,1/10µm,Segment,3,1,1,100000011,510000001719,
0,1/10µm,Segment,1,1,1,100000011,510000001726,
0,1/10µm,Segment,1,1,1,100000000,510000001736,
0,1/10µm,Segment,1,1,1,100000000,510000001737,
0,1/10µm,Segment,1,1,1,100000001,510000001738,
0,1/10µm,Segment,1,1,1,100000002,510000001739,
0,1/10µm,Segment,2,1,1,100000002,510000001740,
0,1/10µm,Segment,1,1,1,100000002,510000001741,
0,1/10µm,Segment,2,1,1,100000002,510000001742,
0,1/10µm,Segment,3,1,1,100000002,510000001743,
0,1/10µm,Segment,0,1,1,100000003,510000001744,
0,1/10µm,Segment,1,2,1,100000003,510000001745,
0,1/10µm,Segment,0,1,1,100000003,510000001746,
0,1/10µm,Segment,1,1,1,100000004,510000001747,
0,1/10µm,Segment,1,1,1,100000004,510000001748,
0,1/10µm,Segment,4,3,1,100000004,510000001749,
0,1/10µm,Segment,1,1,1,100000005,510000001750,
0,1/10µm,Segment,1,1,1,100000005,510000001751,
0,1/10µm,Segment,1,1,1,100000005,510000001752,
0,1/10µm,Segment,1,1,1,100000006,510000001753,
0,1/10µm,Segment,2,1,1,100000006,510000001754,
0,1/10µm,Segment,1,1,1,100000007,510000001755,
0,1/10µm,Segment,1,1,1,100000007,510000001756,
0,1/10µm,Segment,2,1,1,100000007,510000001757,
0,1/10µm,Segment,1,1,1,100000009,510000001758,
0,1/10µm,Segment,2,1,1,100000009,510000001759,
0,1/10µm,Segment,1,1,1,100000010,510000001760,
0,1/10µm,Segment,1,1,1,100000010,510000001761,
0,1/10µm,Segment,1,1,1,100000011,510000001762,
0,1/10µm,Segment,3,2,1,100000011,510000001763,
0,1/10µm,Segment,1,1,1,100000011,510000001764,
0,1/10µm,Segment,2,2,1,100000011,510000001765,
