
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
10,,Filament,1,100000000,
7,,Filament,1,100000001,
12,,Filament,1,100000002,
18,,Filament,1,100000003,
15,,Filament,1,100000004,
16,,Filament,1,100000005,
16,,Filament,1,100000006,
20,,Filament,1,100000007,
23,,Filament,1,100000008,
