
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
768.867,µm,Filament,1,100000000,
470.962,µm,Filament,1,100000001,
539.848,µm,Filament,1,100000002,
1198.51,µm,Filament,1,100000003,
1028.75,µm,Filament,1,100000004,
1065.37,µm,Filament,1,100000005,
670.852,µm,Filament,1,100000006,
950.688,µm,Filament,1,100000007,
1445.73,µm,Filament,1,100000008,
