
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Segment,2,2,1,100000007,510000001915,
1,,Segment,1,1,1,100000007,510000001923,
1,,Segment,1,1,1,100000007,510000001931,
3,,Segment,3,3,1,100000007,510000001949,
2,,Segment,3,2,1,100000007,510000001953,
1,,Segment,0,1,1,100000008,510000001968,
1,,Segment,2,1,1,100000008,510000001975,
1,,Segment,3,1,1,100000008,510000001977,
1,,Segment,4,1,1,100000008,510000001980,
2,,Segment,1,2,1,100000008,510000001997,
2,,Segment,4,2,1,100000008,510000002005,
2,,Segment,2,2,1,100000008,510000002022,
2,,Segment,1,2,1,100000008,510000002027,
2,,Segment,2,2,1,100000008,510000002031,
2,,Segment,2,2,1,100000008,510000002036,
2,,Segment,3,2,1,100000008,510000002040,
3,,Segment,3,3,1,100000008,510000002045,
2,,Segment,3,2,1,100000008,510000002056,
2,,Segment,2,2,1,100000008,510000002076,
3,,Segment,2,3,1,100000008,510000002093,
2,,Segment,1,2,1,100000009,510000002102,
2,,Segment,1,2,1,100000009,510000002111,
1,,Segment,1,1,1,100000009,510000002126,
1,,Segment,3,1,1,100000009,510000002129,
2,,Segment,3,2,1,100000009,510000002143,
2,,Segment,2,2,1,100000009,510000002148,
2,,Segment,3,2,1,100000009,510000002151,
2,,Segment,2,2,1,100000009,510000002156,
3,,Segment,3,3,1,100000009,510000002165,
2,,Segment,1,2,1,100000009,510000002171,
2,,Segment,2,2,1,100000009,510000002176,
3,,Segment,2,3,1,100000009,510000002180,
1,,Segment,1,1,1,100000010,510000002194,
1,,Segment,2,1,1,100000010,510000002196,
1,,Segment,3,1,1,100000010,510000002202,
2,,Segment,2,2,1,100000010,510000002218,
2,,Segment,3,2,1,100000010,510000002226,
2,,Segment,1,2,1,100000010,510000002246,
3,,Segment,2,3,1,100000010,510000002248,
3,,Segment,3,3,1,100000010,510000002263,
2,,Segment,2,2,1,100000010,510000002278,
2,,Segment,3,2,1,100000010,510000002281,
2,,Segment,4,2,1,100000010,510000002290,
3,,Segment,3,3,1,100000010,510000002302,
3,,Segment,4,3,1,100000010,510000002331,
