
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
21,,Filament,1,100000000,
23,,Filament,1,100000001,
20,,Filament,1,100000002,
38,,Filament,1,100000003,
17,,Filament,1,100000004,
16,,Filament,1,100000005,
15,,Filament,1,100000006,
16,,Filament,1,100000007,
17,,Filament,1,100000008,
14,,Filament,1,100000009,
38,,Filament,1,100000010,
21,,Filament,1,100000011,
28,,Filament,1,100000012,
32,,Filament,1,100000013,
