
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
165.125,,Segment,3,4,Image 1,4,1,100000004,510000001293,
169.125,,Segment,3,2,Image 1,2,1,100000004,510000001302,
157.125,,Segment,3,3,Image 1,4,1,100000004,510000001319,
192.125,,Segment,3,1,Image 1,1,1,100000005,510000001337,
154.125,,Segment,3,1,Image 1,1,1,100000005,510000001375,
173.125,,Segment,3,2,Image 1,1,1,100000005,510000001403,
123.125,,Segment,3,1,Image 1,1,1,100000005,510000001419,
118.125,,Segment,3,1,Image 1,1,1,100000005,510000001434,
61.125,,Segment,3,1,Image 1,1,1,100000005,510000001466,
150.125,,Segment,3,2,Image 1,1,1,100000005,510000001468,
175.125,,Segment,3,3,Image 1,1,1,100000005,510000001470,
157.125,,Segment,3,2,Image 1,2,1,100000005,510000001515,
175.125,,Segment,3,3,Image 1,2,1,100000005,510000001517,
180.125,,Segment,3,3,Image 1,3,1,100000005,510000001545,
185.125,,Segment,3,3,Image 1,2,1,100000005,510000001563,
174.125,,Segment,3,2,Image 1,2,1,100000005,510000001589,
168.125,,Segment,3,3,Image 1,2,1,100000005,510000001599,
182.125,,Segment,3,3,Image 1,3,1,100000005,510000001611,
171.125,,Segment,3,2,Image 1,1,1,100000006,510000001633,
170.125,,Segment,3,2,Image 1,2,1,100000006,510000001648,
171.125,,Segment,3,2,Image 1,2,1,100000006,510000001680,
144.125,,Segment,3,2,Image 1,1,1,100000006,510000001689,
153.125,,Segment,3,3,Image 1,1,1,100000006,510000001692,
129.062,,Segment,3,2,Image 1,2,1,100000006,510000001734,
171.125,,Segment,3,3,Image 1,2,1,100000006,510000001744,
165.125,,Segment,3,3,Image 1,3,1,100000006,510000001753,
128.125,,Segment,3,1,Image 1,1,1,100000006,510000001759,
182.125,,Segment,3,3,Image 1,2,1,100000006,510000001769,
165.125,,Segment,3,3,Image 1,2,1,100000006,510000001778,
143.125,,Segment,3,3,Image 1,3,1,100000006,510000001796,
143.125,,Segment,3,2,Image 1,1,1,100000007,510000001816,
152.125,,Segment,3,3,Image 1,1,1,100000007,510000001818,
106.125,,Segment,3,1,Image 1,1,1,100000007,510000001834,
126.125,,Segment,3,2,Image 1,2,1,100000007,510000001847,
160.125,,Segment,3,3,Image 1,2,1,100000007,510000001850,
144.125,,Segment,3,2,Image 1,1,1,100000007,510000001866,
71.125,,Segment,3,1,Image 1,1,1,100000007,510000001885,
165.062,,Segment,3,2,Image 1,1,1,100000007,510000001892,
167.062,,Segment,3,2,Image 1,2,1,100000007,510000001903,
147.125,,Segment,3,2,Image 1,2,1,100000007,510000001915,
80.125,,Segment,3,1,Image 1,1,1,100000007,510000001923,
114.125,,Segment,3,1,Image 1,1,1,100000007,510000001931,
146.062,,Segment,3,3,Image 1,3,1,100000007,510000001949,
164.125,,Segment,3,3,Image 1,2,1,100000007,510000001953,
94.125,,Segment,3,0,Image 1,1,1,100000008,510000001968,
77.125,,Segment,3,2,Image 1,1,1,100000008,510000001975,
109.125,,Segment,3,3,Image 1,1,1,100000008,510000001977,
180.125,,Segment,3,4,Image 1,1,1,100000008,510000001980,
131.125,,Segment,3,1,Image 1,2,1,100000008,510000001997,
169.125,,Segment,3,4,Image 1,2,1,100000008,510000002005,
145.125,,Segment,3,2,Image 1,2,1,100000008,510000002022,
80.125,,Segment,3,1,Image 1,2,1,100000008,510000002027,
143.062,,Segment,3,2,Image 1,2,1,100000008,510000002031,
78.125,,Segment,3,2,Image 1,2,1,100000008,510000002036,
177.125,,Segment,3,3,Image 1,2,1,100000008,510000002040,
189.125,,Segment,3,3,Image 1,3,1,100000008,510000002045,
160.125,,Segment,3,3,Image 1,2,1,100000008,510000002056,
173.125,,Segment,3,2,Image 1,2,1,100000008,510000002076,
152.125,,Segment,3,2,Image 1,3,1,100000008,510000002093,
157.125,,Segment,3,1,Image 1,2,1,100000009,510000002102,
172.125,,Segment,3,1,Image 1,2,1,100000009,510000002111,
76.125,,Segment,3,1,Image 1,1,1,100000009,510000002126,
176.125,,Segment,3,3,Image 1,1,1,100000009,510000002129,
181.125,,Segment,3,3,Image 1,2,1,100000009,510000002143,
155.125,,Segment,3,2,Image 1,2,1,100000009,510000002148,
175.062,,Segment,3,3,Image 1,2,1,100000009,510000002151,
173.125,,Segment,3,2,Image 1,2,1,100000009,510000002156,
191.125,,Segment,3,3,Image 1,3,1,100000009,510000002165,
173.125,,Segment,3,1,Image 1,2,1,100000009,510000002171,
174.125,,Segment,3,2,Image 1,2,1,100000009,510000002176,
188.125,,Segment,3,2,Image 1,3,1,100000009,510000002180,
113.031,,Segment,3,1,Image 1,1,1,100000010,510000002194,
126.062,,Segment,3,2,Image 1,1,1,100000010,510000002196,
177.125,,Segment,3,3,Image 1,1,1,100000010,510000002202,
114.062,,Segment,3,2,Image 1,2,1,100000010,510000002218,
164.125,,Segment,3,3,Image 1,2,1,100000010,510000002226,
104.031,,Segment,3,1,Image 1,2,1,100000010,510000002246,
140.062,,Segment,3,2,Image 1,3,1,100000010,510000002248,
179.125,,Segment,3,3,Image 1,3,1,100000010,510000002263,
95.0312,,Segment,3,2,Image 1,2,1,100000010,510000002278,
149.125,,Segment,3,3,Image 1,2,1,100000010,510000002281,
183.062,,Segment,3,4,Image 1,2,1,100000010,510000002290,
159.125,,Segment,3,3,Image 1,3,1,100000010,510000002302,
190.125,,Segment,3,4,Image 1,3,1,100000010,510000002331,
122.125,,Segment,3,1,Image 1,1,1,100000010,510000002342,
156.062,,Segment,3,2,Image 1,1,1,100000010,510000002358,
169.062,,Segment,3,3,Image 1,1,1,100000010,510000002363,
195.125,,Segment,3,3,Image 1,2,1,100000010,510000002365,
163.062,,Segment,3,1,Image 1,2,1,100000010,510000002368,
149.125,,Segment,3,3,Image 1,2,1,100000010,510000002382,
113.031,,Segment,3,1,Image 1,2,1,100000010,510000002396,
171.062,,Segment,3,2,Image 1,2,1,100000010,510000002399,
118.031,,Segment,3,2,Image 1,3,1,100000010,510000002407,
130.062,,Segment,3,3,Image 1,3,1,100000010,510000002412,
168.125,,Segment,3,4,Image 1,3,1,100000010,510000002417,
137.125,,Segment,3,4,Image 1,4,1,100000010,510000002428,
93.0625,,Segment,3,1,Image 1,2,1,100000010,510000002431,
130.062,,Segment,3,2,Image 1,2,1,100000010,510000002441,
141.031,,Segment,3,3,Image 1,2,1,100000010,510000002444,
142.062,,Segment,3,4,Image 1,2,1,100000010,510000002447,
135.031,,Segment,3,4,Image 1,3,1,100000010,510000002454,
155.125,,Segment,3,5,Image 1,3,1,100000010,510000002456,
137.125,,Segment,3,5,Image 1,4,1,100000010,510000002459,
149.125,,Segment,3,3,Image 1,3,1,100000010,510000002461,
161.125,,Segment,3,2,Image 1,3,1,100000010,510000002466,
166.125,,Segment,3,2,Image 1,2,1,100000010,510000002479,
164.125,,Segment,3,3,Image 1,4,1,100000010,510000002488,
101.125,,Segment,3,2,Image 1,1,1,100000011,510000002505,
166.125,,Segment,3,3,Image 1,1,1,100000011,510000002515,
137.125,,Segment,3,2,Image 1,2,1,100000011,510000002528,
92.125,,Segment,3,2,Image 1,3,1,100000011,510000002550,
162.125,,Segment,3,4,Image 1,2,1,100000011,510000002565,
141.125,,Segment,3,4,Image 1,3,1,100000011,510000002578,
100.125,,Segment,3,3,Image 1,3,1,100000011,510000002584,
155.125,,Segment,3,2,Image 1,3,1,100000011,510000002606,
155.125,,Segment,3,1,Image 1,1,1,100000011,510000002630,
155.125,,Segment,3,1,Image 1,2,1,100000011,510000002643,
98.125,,Segment,3,3,Image 1,2,1,100000011,510000002661,
190.125,,Segment,3,3,Image 1,3,1,100000011,510000002664,
155.125,,Segment,3,3,Image 1,2,1,100000011,510000002675,
168.125,,Segment,3,2,Image 1,1,1,100000012,510000002702,
168.125,,Segment,3,3,Image 1,1,1,100000012,510000002709,
188.016,,Segment,3,4,Image 1,1,1,100000012,510000002731,
186.016,,Segment,3,4,Image 1,2,1,100000012,510000002740,
150.125,,Segment,3,2,Image 1,2,1,100000012,510000002746,
148.125,,Segment,3,3,Image 1,2,1,100000012,510000002752,
160.125,,Segment,3,4,Image 1,2,1,100000012,510000002760,
170.125,,Segment,3,5,Image 1,2,1,100000012,510000002776,
184.125,,Segment,3,5,Image 1,3,1,100000012,510000002784,
165.125,,Segment,3,4,Image 1,3,1,100000012,510000002791,
154.125,,Segment,3,1,Image 1,1,1,100000012,510000002813,
171.125,,Segment,3,2,Image 1,1,1,100000012,510000002820,
130.125,,Segment,3,2,Image 1,2,1,100000012,510000002832,
167.125,,Segment,3,3,Image 1,2,1,100000012,510000002836,
135.125,,Segment,3,2,Image 1,1,1,100000012,510000002867,
175.125,,Segment,3,3,Image 1,1,1,100000012,510000002869,
186.125,,Segment,3,3,Image 1,2,1,100000012,510000002897,
154.125,,Segment,3,2,Image 1,2,1,100000012,510000002921,
161.125,,Segment,3,3,Image 1,2,1,100000012,510000002930,
181.125,,Segment,3,3,Image 1,3,1,100000012,510000002947,
172.125,,Segment,3,2,Image 1,2,1,100000012,510000002966,
144.125,,Segment,3,3,Image 1,3,1,100000012,510000002982,
175.125,,Segment,3,4,Image 1,3,1,100000012,510000002984,
180.125,,Segment,3,4,Image 1,4,1,100000012,510000002999,
166.125,,Segment,3,3,Image 1,2,1,100000012,510000003014,
165.125,,Segment,3,3,Image 1,3,1,100000012,510000003020,
128.125,,Segment,3,3,Image 1,1,1,100000013,510000003039,
122.125,,Segment,3,3,Image 1,2,1,100000013,510000003056,
181.125,,Segment,3,4,Image 1,2,1,100000013,510000003061,
180.125,,Segment,3,4,Image 1,3,1,100000013,510000003074,
72.125,,Segment,3,3,Image 1,2,1,100000013,510000003081,
168.125,,Segment,3,4,Image 1,2,1,100000013,510000003083,
131.125,,Segment,3,4,Image 1,3,1,100000013,510000003090,
170.031,,Segment,3,5,Image 1,3,1,100000013,510000003093,
157.125,,Segment,3,5,Image 1,4,1,100000013,510000003106,
180.125,,Segment,3,4,Image 1,3,1,100000013,510000003111,
175.125,,Segment,3,4,Image 1,4,1,100000013,510000003122,
108.125,,Segment,3,1,Image 1,1,1,100000013,510000003143,
99.125,,Segment,3,1,Image 1,1,1,100000013,510000003156,
164.125,,Segment,3,2,Image 1,1,1,100000013,510000003160,
151.062,,Segment,3,2,Image 1,2,1,100000013,510000003185,
150.125,,Segment,3,3,Image 1,2,1,100000013,510000003188,
169.125,,Segment,3,4,Image 1,2,1,100000013,510000003191,
171.125,,Segment,3,4,Image 1,3,1,100000013,510000003206,
89.125,,Segment,3,1,Image 1,1,1,100000013,510000003211,
159.125,,Segment,3,4,Image 1,1,1,100000013,510000003215,
155.125,,Segment,3,4,Image 1,2,1,100000013,510000003235,
134.062,,Segment,3,3,Image 1,2,1,100000013,510000003244,
113.062,,Segment,3,2,Image 1,2,1,100000013,510000003251,
155.062,,Segment,3,3,Image 1,2,1,100000013,510000003253,
177.125,,Segment,3,3,Image 1,3,1,100000013,510000003269,
157.125,,Segment,3,3,Image 1,3,1,100000013,510000003292,
89.125,,Segment,3,2,Image 1,1,1,100000000,510000003309,
27.0625,,Segment,3,1,Image 1,1,1,100000000,510000003310,
49.0625,,Segment,3,2,Image 1,1,1,100000000,510000003311,
33.125,,Segment,3,1,Image 1,1,1,100000001,510000003312,
123.062,,Segment,3,2,Image 1,1,1,100000001,510000003313,
57.125,,Segment,3,1,Image 1,1,1,100000002,510000003314,
49.125,,Segment,3,1,Image 1,1,1,100000002,510000003315,
165.125,,Segment,3,2,Image 1,1,1,100000002,510000003316,
46.125,,Segment,3,0,Image 1,1,1,100000003,510000003317,
125.125,,Segment,3,1,Image 1,1,1,100000003,510000003318,
46.125,,Segment,3,1,Image 1,2,1,100000003,510000003319,
35.125,,Segment,3,2,Image 1,2,1,100000003,510000003320,
42.125,,Segment,3,6,Image 1,4,1,100000003,510000003321,
57.125,,Segment,3,7,Image 1,4,1,100000003,510000003322,
63.125,,Segment,3,7,Image 1,5,1,100000003,510000003323,
167.062,,Segment,3,4,Image 1,5,1,100000003,510000003324,
46.125,,Segment,3,0,Image 1,1,1,100000004,510000003325,
45.125,,Segment,3,1,Image 1,2,1,100000004,510000003326,
74.125,,Segment,3,0,Image 1,1,1,100000004,510000003327,
55.125,,Segment,3,1,Image 1,1,1,100000005,510000003328,
89.125,,Segment,3,1,Image 1,1,1,100000006,510000003329,
119.125,,Segment,3,2,Image 1,2,1,100000006,510000003330,
91.125,,Segment,3,1,Image 1,1,1,100000006,510000003331,
61.125,,Segment,3,1,Image 1,1,1,100000007,510000003332,
49.125,,Segment,3,1,Image 1,1,1,100000007,510000003333,
30.125,,Segment,3,0,Image 1,1,1,100000008,510000003334,
43.125,,Segment,3,1,Image 1,1,1,100000008,510000003335,
73.125,,Segment,3,0,Image 1,1,1,100000009,510000003336,
105.125,,Segment,3,2,Image 1,1,1,100000009,510000003337,
95.0625,,Segment,3,0,Image 1,1,1,100000010,510000003338,
96.0625,,Segment,3,0,Image 1,1,1,100000010,510000003339,
31.0625,,Segment,3,0,Image 1,1,1,100000011,510000003340,
35.0625,,Segment,3,1,Image 1,1,1,100000011,510000003341,
32.0625,,Segment,3,1,Image 1,2,1,100000011,510000003342,
57.125,,Segment,3,2,Image 1,2,1,100000011,510000003343,
86.125,,Segment,3,3,Image 1,2,1,100000011,510000003344,
28.0625,,Segment,3,1,Image 1,2,1,100000011,510000003345,
51.0625,,Segment,3,2,Image 1,2,1,100000011,510000003346,
35.0625,,Segment,3,0,Image 1,1,1,100000011,510000003347,
98.125,,Segment,3,1,Image 1,1,1,100000012,510000003348,
72.125,,Segment,3,1,Image 1,1,1,100000012,510000003349,
87.125,,Segment,3,1,Image 1,1,1,100000013,510000003350,
95.125,,Segment,3,2,Image 1,1,1,100000013,510000003351,
66.125,,Segment,3,2,Image 1,2,1,100000013,510000003352,
96.125,,Segment,3,3,Image 1,3,1,100000013,510000003353,
128.062,,Segment,3,2,Image 1,1,1,100000013,510000003354,
142.062,,Segment,3,3,Image 1,1,1,100000013,510000003355,
