
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
164.125,,Segment,1,2,Image 1,2,1,100000004,510000001302,
165.125,,Segment,1,3,Image 1,4,1,100000004,510000001319,
130.125,,Segment,1,1,Image 1,1,1,100000005,510000001337,
210.625,,Segment,1,1,Image 1,1,1,100000005,510000001375,
183.125,,Segment,1,2,Image 1,1,1,100000005,510000001403,
122,,Segment,1,1,Image 1,1,1,100000005,510000001419,
247.625,,Segment,1,1,Image 1,1,1,100000005,510000001434,
255,,Segment,1,1,Image 1,1,1,100000005,510000001466,
255,,Segment,1,2,Image 1,1,1,100000005,510000001468,
169.125,,Segment,1,3,Image 1,1,1,100000005,510000001470,
127.125,,Segment,1,2,Image 1,2,1,100000005,510000001515,
135.25,,Segment,1,3,Image 1,2,1,100000005,510000001517,
120.125,,Segment,1,3,Image 1,3,1,100000005,510000001545,
158.125,,Segment,1,3,Image 1,2,1,100000005,510000001563,
233.125,,Segment,1,2,Image 1,2,1,100000005,510000001589,
255,,Segment,1,3,Image 1,2,1,100000005,510000001599,
128.125,,Segment,1,3,Image 1,3,1,100000005,510000001611,
179.625,,Segment,1,2,Image 1,1,1,100000006,510000001633,
184.125,,Segment,1,2,Image 1,2,1,100000006,510000001648,
121.125,,Segment,1,2,Image 1,2,1,100000006,510000001680,
181.062,,Segment,1,2,Image 1,1,1,100000006,510000001689,
188.125,,Segment,1,3,Image 1,1,1,100000006,510000001692,
183.125,,Segment,1,2,Image 1,2,1,100000006,510000001734,
162.625,,Segment,1,3,Image 1,2,1,100000006,510000001744,
159.562,,Segment,1,3,Image 1,3,1,100000006,510000001753,
79.0625,,Segment,1,1,Image 1,1,1,100000006,510000001759,
79.625,,Segment,1,3,Image 1,2,1,100000006,510000001769,
124.125,,Segment,1,3,Image 1,2,1,100000006,510000001778,
209.125,,Segment,1,3,Image 1,3,1,100000006,510000001796,
177.062,,Segment,1,2,Image 1,1,1,100000007,510000001816,
219.125,,Segment,1,3,Image 1,1,1,100000007,510000001818,
250.562,,Segment,1,1,Image 1,1,1,100000007,510000001834,
202.625,,Segment,1,2,Image 1,2,1,100000007,510000001847,
184.125,,Segment,1,3,Image 1,2,1,100000007,510000001850,
193.625,,Segment,1,2,Image 1,1,1,100000007,510000001866,
191.125,,Segment,1,1,Image 1,1,1,100000007,510000001885,
125.062,,Segment,1,2,Image 1,1,1,100000007,510000001892,
143.125,,Segment,1,2,Image 1,2,1,100000007,510000001903,
184.125,,Segment,1,2,Image 1,2,1,100000007,510000001915,
138.125,,Segment,1,1,Image 1,1,1,100000007,510000001923,
141.125,,Segment,1,1,Image 1,1,1,100000007,510000001931,
206.531,,Segment,1,3,Image 1,3,1,100000007,510000001949,
140.125,,Segment,1,3,Image 1,2,1,100000007,510000001953,
129.562,,Segment,1,0,Image 1,1,1,100000008,510000001968,
228.031,,Segment,1,2,Image 1,1,1,100000008,510000001975,
172.562,,Segment,1,3,Image 1,1,1,100000008,510000001977,
96.625,,Segment,1,4,Image 1,1,1,100000008,510000001980,
159.125,,Segment,1,1,Image 1,2,1,100000008,510000001997,
89.625,,Segment,1,4,Image 1,2,1,100000008,510000002005,
141.625,,Segment,1,2,Image 1,2,1,100000008,510000002022,
253.062,,Segment,1,1,Image 1,2,1,100000008,510000002027,
162.062,,Segment,1,2,Image 1,2,1,100000008,510000002031,
219.062,,Segment,1,2,Image 1,2,1,100000008,510000002036,
179.062,,Segment,1,3,Image 1,2,1,100000008,510000002040,
97.125,,Segment,1,3,Image 1,3,1,100000008,510000002045,
96.125,,Segment,1,3,Image 1,2,1,100000008,510000002056,
133.625,,Segment,1,2,Image 1,2,1,100000008,510000002076,
159.625,,Segment,1,2,Image 1,3,1,100000008,510000002093,
201.625,,Segment,1,1,Image 1,2,1,100000009,510000002102,
91.5625,,Segment,1,1,Image 1,2,1,100000009,510000002111,
227.062,,Segment,1,1,Image 1,1,1,100000009,510000002126,
90.125,,Segment,1,3,Image 1,1,1,100000009,510000002129,
137.125,,Segment,1,3,Image 1,2,1,100000009,510000002143,
176.125,,Segment,1,2,Image 1,2,1,100000009,510000002148,
118.031,,Segment,1,3,Image 1,2,1,100000009,510000002151,
75.125,,Segment,1,2,Image 1,2,1,100000009,510000002156,
114.062,,Segment,1,3,Image 1,3,1,100000009,510000002165,
106.562,,Segment,1,1,Image 1,2,1,100000009,510000002171,
135.125,,Segment,1,2,Image 1,2,1,100000009,510000002176,
123.125,,Segment,1,2,Image 1,3,1,100000009,510000002180,
163.004,,Segment,1,1,Image 1,1,1,100000010,510000002194,
170.031,,Segment,1,2,Image 1,1,1,100000010,510000002196,
107.125,,Segment,1,3,Image 1,1,1,100000010,510000002202,
163.062,,Segment,1,2,Image 1,2,1,100000010,510000002218,
165.125,,Segment,1,3,Image 1,2,1,100000010,510000002226,
163.031,,Segment,1,1,Image 1,2,1,100000010,510000002246,
129.562,,Segment,1,2,Image 1,3,1,100000010,510000002248,
95.625,,Segment,1,3,Image 1,3,1,100000010,510000002263,
188.031,,Segment,1,2,Image 1,2,1,100000010,510000002278,
170.062,,Segment,1,3,Image 1,2,1,100000010,510000002281,
114.062,,Segment,1,4,Image 1,2,1,100000010,510000002290,
162.125,,Segment,1,3,Image 1,3,1,100000010,510000002302,
