
Segment Intensity Min Ch=1 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,1,1,Image 1,2,1,100000004,510000001218,
25,,Segment,1,1,Image 1,1,1,100000004,510000001242,
23,,Segment,1,2,Image 1,1,1,100000004,510000001244,
0,,Segment,1,2,Image 1,3,1,100000004,510000001259,
35,,Segment,1,2,Image 1,3,1,100000004,510000001270,
1,,Segment,1,3,Image 1,3,1,100000004,510000001272,
21,,Segment,1,4,Image 1,3,1,100000004,510000001275,
24,,Segment,1,4,Image 1,4,1,100000004,510000001293,
39,,Segment,1,2,Image 1,2,1,100000004,510000001302,
0,,Segment,1,3,Image 1,4,1,100000004,510000001319,
0,,Segment,1,1,Image 1,1,1,100000005,510000001337,
0,,Segment,1,1,Image 1,1,1,100000005,510000001375,
0,,Segment,1,2,Image 1,1,1,100000005,510000001403,
0,,Segment,1,1,Image 1,1,1,100000005,510000001419,
0,,Segment,1,1,Image 1,1,1,100000005,510000001434,
0,,Segment,1,1,Image 1,1,1,100000005,510000001466,
0,,Segment,1,2,Image 1,1,1,100000005,510000001468,
0,,Segment,1,3,Image 1,1,1,100000005,510000001470,
0,,Segment,1,2,Image 1,2,1,100000005,510000001515,
0,,Segment,1,3,Image 1,2,1,100000005,510000001517,
0,,Segment,1,3,Image 1,3,1,100000005,510000001545,
9,,Segment,1,3,Image 1,2,1,100000005,510000001563,
0,,Segment,1,2,Image 1,2,1,100000005,510000001589,
0,,Segment,1,3,Image 1,2,1,100000005,510000001599,
0,,Segment,1,3,Image 1,3,1,100000005,510000001611,
0,,Segment,1,2,Image 1,1,1,100000006,510000001633,
0,,Segment,1,2,Image 1,2,1,100000006,510000001648,
0,,Segment,1,2,Image 1,2,1,100000006,510000001680,
17,,Segment,1,2,Image 1,1,1,100000006,510000001689,
0,,Segment,1,3,Image 1,1,1,100000006,510000001692,
75,,Segment,1,2,Image 1,2,1,100000006,510000001734,
24,,Segment,1,3,Image 1,2,1,100000006,510000001744,
75,,Segment,1,3,Image 1,3,1,100000006,510000001753,
15,,Segment,1,1,Image 1,1,1,100000006,510000001759,
0,,Segment,1,3,Image 1,2,1,100000006,510000001769,
11,,Segment,1,3,Image 1,2,1,100000006,510000001778,
0,,Segment,1,3,Image 1,3,1,100000006,510000001796,
37,,Segment,1,2,Image 1,1,1,100000007,510000001816,
2,,Segment,1,3,Image 1,1,1,100000007,510000001818,
28,,Segment,1,1,Image 1,1,1,100000007,510000001834,
54,,Segment,1,2,Image 1,2,1,100000007,510000001847,
34,,Segment,1,3,Image 1,2,1,100000007,510000001850,
0,,Segment,1,2,Image 1,1,1,100000007,510000001866,
30,,Segment,1,1,Image 1,1,1,100000007,510000001885,
61,,Segment,1,2,Image 1,1,1,100000007,510000001892,
57,,Segment,1,2,Image 1,2,1,100000007,510000001903,
0,,Segment,1,2,Image 1,2,1,100000007,510000001915,
0,,Segment,1,1,Image 1,1,1,100000007,510000001923,
1,,Segment,1,1,Image 1,1,1,100000007,510000001931,
103,,Segment,1,3,Image 1,3,1,100000007,510000001949,
25,,Segment,1,3,Image 1,2,1,100000007,510000001953,
0,,Segment,1,0,Image 1,1,1,100000008,510000001968,
0,,Segment,1,2,Image 1,1,1,100000008,510000001975,
0,,Segment,1,3,Image 1,1,1,100000008,510000001977,
0,,Segment,1,4,Image 1,1,1,100000008,510000001980,
0,,Segment,1,1,Image 1,2,1,100000008,510000001997,
0,,Segment,1,4,Image 1,2,1,100000008,510000002005,
0,,Segment,1,2,Image 1,2,1,100000008,510000002022,
0,,Segment,1,1,Image 1,2,1,100000008,510000002027,
66,,Segment,1,2,Image 1,2,1,100000008,510000002031,
7,,Segment,1,2,Image 1,2,1,100000008,510000002036,
16,,Segment,1,3,Image 1,2,1,100000008,510000002040,
1,,Segment,1,3,Image 1,3,1,100000008,510000002045,
0,,Segment,1,3,Image 1,2,1,100000008,510000002056,
0,,Segment,1,2,Image 1,2,1,100000008,510000002076,
22,,Segment,1,2,Image 1,3,1,100000008,510000002093,
12,,Segment,1,1,Image 1,2,1,100000009,510000002102,
36,,Segment,1,1,Image 1,2,1,100000009,510000002111,
36,,Segment,1,1,Image 1,1,1,100000009,510000002126,
25,,Segment,1,3,Image 1,1,1,100000009,510000002129,
0,,Segment,1,3,Image 1,2,1,100000009,510000002143,
38,,Segment,1,2,Image 1,2,1,100000009,510000002148,
73,,Segment,1,3,Image 1,2,1,100000009,510000002151,
15,,Segment,1,2,Image 1,2,1,100000009,510000002156,
37,,Segment,1,3,Image 1,3,1,100000009,510000002165,
0,,Segment,1,1,Image 1,2,1,100000009,510000002171,
26,,Segment,1,2,Image 1,2,1,100000009,510000002176,
12,,Segment,1,2,Image 1,3,1,100000009,510000002180,
127,,Segment,1,1,Image 1,1,1,100000010,510000002194,
131,,Segment,1,2,Image 1,1,1,100000010,510000002196,
5,,Segment,1,3,Image 1,1,1,100000010,510000002202,
92,,Segment,1,2,Image 1,2,1,100000010,510000002218,
30,,Segment,1,3,Image 1,2,1,100000010,510000002226,
131,,Segment,1,1,Image 1,2,1,100000010,510000002246,
69,,Segment,1,2,Image 1,3,1,100000010,510000002248,
72,,Segment,1,3,Image 1,3,1,100000010,510000002263,
137,,Segment,1,2,Image 1,2,1,100000010,510000002278,
43,,Segment,1,3,Image 1,2,1,100000010,510000002281,
5,,Segment,1,4,Image 1,2,1,100000010,510000002290,
17,,Segment,1,3,Image 1,3,1,100000010,510000002302,
1,,Segment,1,4,Image 1,3,1,100000010,510000002331,
77,,Segment,1,1,Image 1,1,1,100000010,510000002342,
8,,Segment,1,2,Image 1,1,1,100000010,510000002358,
73,,Segment,1,3,Image 1,1,1,100000010,510000002363,
27,,Segment,1,3,Image 1,2,1,100000010,510000002365,
71,,Segment,1,1,Image 1,2,1,100000010,510000002368,
69,,Segment,1,3,Image 1,2,1,100000010,510000002382,
117,,Segment,1,1,Image 1,2,1,100000010,510000002396,
74,,Segment,1,2,Image 1,2,1,100000010,510000002399,
117,,Segment,1,2,Image 1,3,1,100000010,510000002407,
82,,Segment,1,3,Image 1,3,1,100000010,510000002412,
0,,Segment,1,4,Image 1,3,1,100000010,510000002417,
84,,Segment,1,4,Image 1,4,1,100000010,510000002428,
139,,Segment,1,1,Image 1,2,1,100000010,510000002431,
66,,Segment,1,2,Image 1,2,1,100000010,510000002441,
113,,Segment,1,3,Image 1,2,1,100000010,510000002444,
66,,Segment,1,4,Image 1,2,1,100000010,510000002447,
91,,Segment,1,4,Image 1,3,1,100000010,510000002454,
69,,Segment,1,5,Image 1,3,1,100000010,510000002456,
60,,Segment,1,5,Image 1,4,1,100000010,510000002459,
14,,Segment,1,3,Image 1,3,1,100000010,510000002461,
13,,Segment,1,2,Image 1,3,1,100000010,510000002466,
1,,Segment,1,2,Image 1,2,1,100000010,510000002479,
0,,Segment,1,3,Image 1,4,1,100000010,510000002488,
0,,Segment,1,2,Image 1,1,1,100000011,510000002505,
29,,Segment,1,3,Image 1,1,1,100000011,510000002515,
36,,Segment,1,2,Image 1,2,1,100000011,510000002528,
58,,Segment,1,2,Image 1,3,1,100000011,510000002550,
18,,Segment,1,4,Image 1,2,1,100000011,510000002565,
51,,Segment,1,4,Image 1,3,1,100000011,510000002578,
54,,Segment,1,3,Image 1,3,1,100000011,510000002584,
0,,Segment,1,2,Image 1,3,1,100000011,510000002606,
49,,Segment,1,1,Image 1,1,1,100000011,510000002630,
0,,Segment,1,1,Image 1,2,1,100000011,510000002643,
81,,Segment,1,3,Image 1,2,1,100000011,510000002661,
34,,Segment,1,3,Image 1,3,1,100000011,510000002664,
0,,Segment,1,3,Image 1,2,1,100000011,510000002675,
0,,Segment,1,2,Image 1,1,1,100000012,510000002702,
0,,Segment,1,3,Image 1,1,1,100000012,510000002709,
73,,Segment,1,4,Image 1,1,1,100000012,510000002731,
70,,Segment,1,4,Image 1,2,1,100000012,510000002740,
0,,Segment,1,2,Image 1,2,1,100000012,510000002746,
29,,Segment,1,3,Image 1,2,1,100000012,510000002752,
0,,Segment,1,4,Image 1,2,1,100000012,510000002760,
0,,Segment,1,5,Image 1,2,1,100000012,510000002776,
0,,Segment,1,5,Image 1,3,1,100000012,510000002784,
0,,Segment,1,4,Image 1,3,1,100000012,510000002791,
0,,Segment,1,1,Image 1,1,1,100000012,510000002813,
0,,Segment,1,2,Image 1,1,1,100000012,510000002820,
0,,Segment,1,2,Image 1,2,1,100000012,510000002832,
0,,Segment,1,3,Image 1,2,1,100000012,510000002836,
0,,Segment,1,2,Image 1,1,1,100000012,510000002867,
0,,Segment,1,3,Image 1,1,1,100000012,510000002869,
0,,Segment,1,3,Image 1,2,1,100000012,510000002897,
0,,Segment,1,2,Image 1,2,1,100000012,510000002921,
0,,Segment,1,3,Image 1,2,1,100000012,510000002930,
1,,Segment,1,3,Image 1,3,1,100000012,510000002947,
0,,Segment,1,2,Image 1,2,1,100000012,510000002966,
25,,Segment,1,3,Image 1,3,1,100000012,510000002982,
0,,Segment,1,4,Image 1,3,1,100000012,510000002984,
11,,Segment,1,4,Image 1,4,1,100000012,510000002999,
0,,Segment,1,3,Image 1,2,1,100000012,510000003014,
0,,Segment,1,3,Image 1,3,1,100000012,510000003020,
0,,Segment,1,3,Image 1,1,1,100000013,510000003039,
0,,Segment,1,3,Image 1,2,1,100000013,510000003056,
18,,Segment,1,4,Image 1,2,1,100000013,510000003061,
18,,Segment,1,4,Image 1,3,1,100000013,510000003074,
113,,Segment,1,3,Image 1,2,1,100000013,510000003081,
47,,Segment,1,4,Image 1,2,1,100000013,510000003083,
68,,Segment,1,4,Image 1,3,1,100000013,510000003090,
72,,Segment,1,5,Image 1,3,1,100000013,510000003093,
31,,Segment,1,5,Image 1,4,1,100000013,510000003106,
24,,Segment,1,4,Image 1,3,1,100000013,510000003111,
28,,Segment,1,4,Image 1,4,1,100000013,510000003122,
24,,Segment,1,1,Image 1,1,1,100000013,510000003143,
33,,Segment,1,1,Image 1,1,1,100000013,510000003156,
30,,Segment,1,2,Image 1,1,1,100000013,510000003160,
36,,Segment,1,2,Image 1,2,1,100000013,510000003185,
101,,Segment,1,3,Image 1,2,1,100000013,510000003188,
50,,Segment,1,4,Image 1,2,1,100000013,510000003191,
36,,Segment,1,4,Image 1,3,1,100000013,510000003206,
45,,Segment,1,1,Image 1,1,1,100000013,510000003211,
5,,Segment,1,4,Image 1,1,1,100000013,510000003215,
6,,Segment,1,4,Image 1,2,1,100000013,510000003235,
59,,Segment,1,3,Image 1,2,1,100000013,510000003244,
80,,Segment,1,2,Image 1,2,1,100000013,510000003251,
77,,Segment,1,3,Image 1,2,1,100000013,510000003253,
0,,Segment,1,3,Image 1,3,1,100000013,510000003269,
30,,Segment,1,3,Image 1,3,1,100000013,510000003292,
176,,Segment,1,2,Image 1,1,1,100000000,510000003309,
255,,Segment,1,1,Image 1,1,1,100000000,510000003310,
191,,Segment,1,2,Image 1,1,1,100000000,510000003311,
150,,Segment,1,1,Image 1,1,1,100000001,510000003312,
108,,Segment,1,2,Image 1,1,1,100000001,510000003313,
47,,Segment,1,1,Image 1,1,1,100000002,510000003314,
0,,Segment,1,1,Image 1,1,1,100000002,510000003315,
42,,Segment,1,2,Image 1,1,1,100000002,510000003316,
9,,Segment,1,0,Image 1,1,1,100000003,510000003317,
0,,Segment,1,1,Image 1,1,1,100000003,510000003318,
9,,Segment,1,1,Image 1,2,1,100000003,510000003319,
114,,Segment,1,2,Image 1,2,1,100000003,510000003320,
0,,Segment,1,6,Image 1,4,1,100000003,510000003321,
0,,Segment,1,7,Image 1,4,1,100000003,510000003322,
0,,Segment,1,7,Image 1,5,1,100000003,510000003323,
96,,Segment,1,4,Image 1,5,1,100000003,510000003324,
17,,Segment,1,0,Image 1,1,1,100000004,510000003325,
17,,Segment,1,1,Image 1,2,1,100000004,510000003326,
25,,Segment,1,0,Image 1,1,1,100000004,510000003327,
0,,Segment,1,1,Image 1,1,1,100000005,510000003328,
79,,Segment,1,1,Image 1,1,1,100000006,510000003329,
3,,Segment,1,2,Image 1,2,1,100000006,510000003330,
79,,Segment,1,1,Image 1,1,1,100000006,510000003331,
60,,Segment,1,1,Image 1,1,1,100000007,510000003332,
0,,Segment,1,1,Image 1,1,1,100000007,510000003333,
72,,Segment,1,0,Image 1,1,1,100000008,510000003334,
90,,Segment,1,1,Image 1,1,1,100000008,510000003335,
26,,Segment,1,0,Image 1,1,1,100000009,510000003336,
35,,Segment,1,2,Image 1,1,1,100000009,510000003337,
127,,Segment,1,0,Image 1,1,1,100000010,510000003338,
131,,Segment,1,0,Image 1,1,1,100000010,510000003339,
183,,Segment,1,0,Image 1,1,1,100000011,510000003340,
181,,Segment,1,1,Image 1,1,1,100000011,510000003341,
225,,Segment,1,1,Image 1,2,1,100000011,510000003342,
54,,Segment,1,2,Image 1,2,1,100000011,510000003343,
54,,Segment,1,3,Image 1,2,1,100000011,510000003344,
225,,Segment,1,1,Image 1,2,1,100000011,510000003345,
186,,Segment,1,2,Image 1,2,1,100000011,510000003346,
136,,Segment,1,0,Image 1,1,1,100000011,510000003347,
39,,Segment,1,1,Image 1,1,1,100000012,510000003348,
0,,Segment,1,1,Image 1,1,1,100000012,510000003349,
45,,Segment,1,1,Image 1,1,1,100000013,510000003350,
25,,Segment,1,2,Image 1,1,1,100000013,510000003351,
67,,Segment,1,2,Image 1,2,1,100000013,510000003352,
28,,Segment,1,3,Image 1,3,1,100000013,510000003353,
59,,Segment,1,2,Image 1,1,1,100000013,510000003354,
39,,Segment,1,3,Image 1,1,1,100000013,510000003355,
