
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
109994,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000003,800000122,
109950,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000003,800000123,
109980,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000003,800000124,
109987,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000003,800000125,
110025,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000003,800000126,
110009,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000003,800000127,
109980,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000003,800000128,
109989,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000003,800000129,
110000,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000003,800000130,
109966,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000003,800000131,
109914,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000003,800000132,
109972,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000003,800000133,
109900,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000003,800000134,
109977,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000003,800000135,
109996,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000003,800000136,
109997,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000003,800000137,
109990,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000003,800000138,
109923,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000003,800000139,
109936,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000003,800000140,
109966,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000003,800000141,
109911,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000003,800000142,
110022,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000143,
109960,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000003,800000144,
109979,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000145,
109933,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000003,800000146,
109925,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000003,800000147,
109936,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000003,800000148,
109928,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000003,800000149,
109938,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000003,800000150,
110211,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000004,800000151,
110162,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000152,
110205,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000004,800000153,
110164,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000154,
110188,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000155,
110189,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000156,
110328,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000157,
110222,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000004,800000158,
110279,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000159,
110206,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000160,
110150,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000161,
110237,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000162,
110226,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000004,800000163,
110259,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000164,
110232,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000165,
110257,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000004,800000166,
