
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
89,,Segment,2,1,Image 1,2,1,100000004,510000001218,
132,,Segment,2,1,Image 1,1,1,100000004,510000001242,
111,,Segment,2,2,Image 1,1,1,100000004,510000001244,
70,,Segment,2,2,Image 1,3,1,100000004,510000001259,
70,,Segment,2,2,Image 1,3,1,100000004,510000001270,
142,,Segment,2,3,Image 1,3,1,100000004,510000001272,
57,,Segment,2,4,Image 1,3,1,100000004,510000001275,
131,,Segment,2,4,Image 1,4,1,100000004,510000001293,
105,,Segment,2,2,Image 1,2,1,100000004,510000001302,
111,,Segment,2,3,Image 1,4,1,100000004,510000001319,
11,,Segment,2,1,Image 1,1,1,100000005,510000001337,
16,,Segment,2,1,Image 1,1,1,100000005,510000001375,
77,,Segment,2,2,Image 1,1,1,100000005,510000001403,
3,,Segment,2,1,Image 1,1,1,100000005,510000001419,
16,,Segment,2,1,Image 1,1,1,100000005,510000001434,
16,,Segment,2,1,Image 1,1,1,100000005,510000001466,
77,,Segment,2,2,Image 1,1,1,100000005,510000001468,
82,,Segment,2,3,Image 1,1,1,100000005,510000001470,
77,,Segment,2,2,Image 1,2,1,100000005,510000001515,
0,,Segment,2,3,Image 1,2,1,100000005,510000001517,
115,,Segment,2,3,Image 1,3,1,100000005,510000001545,
66,,Segment,2,3,Image 1,2,1,100000005,510000001563,
0,,Segment,2,2,Image 1,2,1,100000005,510000001589,
59,,Segment,2,3,Image 1,2,1,100000005,510000001599,
75,,Segment,2,3,Image 1,3,1,100000005,510000001611,
78,,Segment,2,2,Image 1,1,1,100000006,510000001633,
75,,Segment,2,2,Image 1,2,1,100000006,510000001648,
104,,Segment,2,2,Image 1,2,1,100000006,510000001680,
85,,Segment,2,2,Image 1,1,1,100000006,510000001689,
75,,Segment,2,3,Image 1,1,1,100000006,510000001692,
85,,Segment,2,2,Image 1,2,1,100000006,510000001734,
74,,Segment,2,3,Image 1,2,1,100000006,510000001744,
144,,Segment,2,3,Image 1,3,1,100000006,510000001753,
179,,Segment,2,1,Image 1,1,1,100000006,510000001759,
133,,Segment,2,3,Image 1,2,1,100000006,510000001769,
68,,Segment,2,3,Image 1,2,1,100000006,510000001778,
61,,Segment,2,3,Image 1,3,1,100000006,510000001796,
109,,Segment,2,2,Image 1,1,1,100000007,510000001816,
45,,Segment,2,3,Image 1,1,1,100000007,510000001818,
35,,Segment,2,1,Image 1,1,1,100000007,510000001834,
92,,Segment,2,2,Image 1,2,1,100000007,510000001847,
92,,Segment,2,3,Image 1,2,1,100000007,510000001850,
81,,Segment,2,2,Image 1,1,1,100000007,510000001866,
44,,Segment,2,1,Image 1,1,1,100000007,510000001885,
131,,Segment,2,2,Image 1,1,1,100000007,510000001892,
131,,Segment,2,2,Image 1,2,1,100000007,510000001903,
28,,Segment,2,2,Image 1,2,1,100000007,510000001915,
44,,Segment,2,1,Image 1,1,1,100000007,510000001923,
44,,Segment,2,1,Image 1,1,1,100000007,510000001931,
92,,Segment,2,3,Image 1,3,1,100000007,510000001949,
68,,Segment,2,3,Image 1,2,1,100000007,510000001953,
133,,Segment,2,0,Image 1,1,1,100000008,510000001968,
62,,Segment,2,2,Image 1,1,1,100000008,510000001975,
83,,Segment,2,3,Image 1,1,1,100000008,510000001977,
109,,Segment,2,4,Image 1,1,1,100000008,510000001980,
40,,Segment,2,1,Image 1,2,1,100000008,510000001997,
109,,Segment,2,4,Image 1,2,1,100000008,510000002005,
62,,Segment,2,2,Image 1,2,1,100000008,510000002022,
40,,Segment,2,1,Image 1,2,1,100000008,510000002027,
120,,Segment,2,2,Image 1,2,1,100000008,510000002031,
62,,Segment,2,2,Image 1,2,1,100000008,510000002036,
109,,Segment,2,3,Image 1,2,1,100000008,510000002040,
109,,Segment,2,3,Image 1,3,1,100000008,510000002045,
39,,Segment,2,3,Image 1,2,1,100000008,510000002056,
62,,Segment,2,2,Image 1,2,1,100000008,510000002076,
127,,Segment,2,2,Image 1,3,1,100000008,510000002093,
70,,Segment,2,1,Image 1,2,1,100000009,510000002102,
110,,Segment,2,1,Image 1,2,1,100000009,510000002111,
27,,Segment,2,1,Image 1,1,1,100000009,510000002126,
114,,Segment,2,3,Image 1,1,1,100000009,510000002129,
97,,Segment,2,3,Image 1,2,1,100000009,510000002143,
87,,Segment,2,2,Image 1,2,1,100000009,510000002148,
152,,Segment,2,3,Image 1,2,1,100000009,510000002151,
87,,Segment,2,2,Image 1,2,1,100000009,510000002156,
166,,Segment,2,3,Image 1,3,1,100000009,510000002165,
110,,Segment,2,1,Image 1,2,1,100000009,510000002171,
104,,Segment,2,2,Image 1,2,1,100000009,510000002176,
71,,Segment,2,2,Image 1,3,1,100000009,510000002180,
104,,Segment,2,1,Image 1,1,1,100000010,510000002194,
115,,Segment,2,2,Image 1,1,1,100000010,510000002196,
127,,Segment,2,3,Image 1,1,1,100000010,510000002202,
109,,Segment,2,2,Image 1,2,1,100000010,510000002218,
79,,Segment,2,3,Image 1,2,1,100000010,510000002226,
95,,Segment,2,1,Image 1,2,1,100000010,510000002246,
107,,Segment,2,2,Image 1,3,1,100000010,510000002248,
99,,Segment,2,3,Image 1,3,1,100000010,510000002263,
81,,Segment,2,2,Image 1,2,1,100000010,510000002278,
93,,Segment,2,3,Image 1,2,1,100000010,510000002281,
140,,Segment,2,4,Image 1,2,1,100000010,510000002290,
79,,Segment,2,3,Image 1,3,1,100000010,510000002302,
128,,Segment,2,4,Image 1,3,1,100000010,510000002331,
59,,Segment,2,1,Image 1,1,1,100000010,510000002342,
132,,Segment,2,2,Image 1,1,1,100000010,510000002358,
138,,Segment,2,3,Image 1,1,1,100000010,510000002363,
161,,Segment,2,3,Image 1,2,1,100000010,510000002365,
110,,Segment,2,1,Image 1,2,1,100000010,510000002368,
119,,Segment,2,3,Image 1,2,1,100000010,510000002382,
107,,Segment,2,1,Image 1,2,1,100000010,510000002396,
131,,Segment,2,2,Image 1,2,1,100000010,510000002399,
96,,Segment,2,2,Image 1,3,1,100000010,510000002407,
113,,Segment,2,3,Image 1,3,1,100000010,510000002412,
83,,Segment,2,4,Image 1,3,1,100000010,510000002417,
75,,Segment,2,4,Image 1,4,1,100000010,510000002428,
71,,Segment,2,1,Image 1,2,1,100000010,510000002431,
115,,Segment,2,2,Image 1,2,1,100000010,510000002441,
128,,Segment,2,3,Image 1,2,1,100000010,510000002444,
64,,Segment,2,4,Image 1,2,1,100000010,510000002447,
122,,Segment,2,4,Image 1,3,1,100000010,510000002454,
129,,Segment,2,5,Image 1,3,1,100000010,510000002456,
1,,Segment,2,5,Image 1,4,1,100000010,510000002459,
110,,Segment,2,3,Image 1,3,1,100000010,510000002461,
115,,Segment,2,2,Image 1,3,1,100000010,510000002466,
79,,Segment,2,2,Image 1,2,1,100000010,510000002479,
87,,Segment,2,3,Image 1,4,1,100000010,510000002488,
40,,Segment,2,2,Image 1,1,1,100000011,510000002505,
110,,Segment,2,3,Image 1,1,1,100000011,510000002515,
40,,Segment,2,2,Image 1,2,1,100000011,510000002528,
25,,Segment,2,2,Image 1,3,1,100000011,510000002550,
67,,Segment,2,4,Image 1,2,1,100000011,510000002565,
91,,Segment,2,4,Image 1,3,1,100000011,510000002578,
9,,Segment,2,3,Image 1,3,1,100000011,510000002584,
0,,Segment,2,2,Image 1,3,1,100000011,510000002606,
58,,Segment,2,1,Image 1,1,1,100000011,510000002630,
63,,Segment,2,1,Image 1,2,1,100000011,510000002643,
73,,Segment,2,3,Image 1,2,1,100000011,510000002661,
73,,Segment,2,3,Image 1,3,1,100000011,510000002664,
23,,Segment,2,3,Image 1,2,1,100000011,510000002675,
125,,Segment,2,2,Image 1,1,1,100000012,510000002702,
1,,Segment,2,3,Image 1,1,1,100000012,510000002709,
175,,Segment,2,4,Image 1,1,1,100000012,510000002731,
178,,Segment,2,4,Image 1,2,1,100000012,510000002740,
67,,Segment,2,2,Image 1,2,1,100000012,510000002746,
