
Segment Resistance
 ==================== 
Segment Resistance,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.154465,1/µm,Segment,1,1,1,100000005,510000001466,
0.13665,1/µm,Segment,2,1,1,100000005,510000001468,
4.15495,1/µm,Segment,3,1,1,100000005,510000001470,
0.345145,1/µm,Segment,2,2,1,100000005,510000001515,
3.01027,1/µm,Segment,3,2,1,100000005,510000001517,
2.27181,1/µm,Segment,3,3,1,100000005,510000001545,
2.86159,1/µm,Segment,3,2,1,100000005,510000001563,
1.2955,1/µm,Segment,2,2,1,100000005,510000001589,
1.45065,1/µm,Segment,3,2,1,100000005,510000001599,
2.27364,1/µm,Segment,3,3,1,100000005,510000001611,
0.890314,1/µm,Segment,2,1,1,100000006,510000001633,
2.18219,1/µm,Segment,2,2,1,100000006,510000001648,
1.20443,1/µm,Segment,2,2,1,100000006,510000001680,
0.370393,1/µm,Segment,2,1,1,100000006,510000001689,
5.52007,1/µm,Segment,3,1,1,100000006,510000001692,
3.45863,1/µm,Segment,2,2,1,100000006,510000001734,
3.47058,1/µm,Segment,3,2,1,100000006,510000001744,
3.55142,1/µm,Segment,3,3,1,100000006,510000001753,
3.07788,1/µm,Segment,1,1,1,100000006,510000001759,
3.27191,1/µm,Segment,3,2,1,100000006,510000001769,
5.28389,1/µm,Segment,3,2,1,100000006,510000001778,
7.58181,1/µm,Segment,3,3,1,100000006,510000001796,
0.310021,1/µm,Segment,2,1,1,100000007,510000001816,
2.89791,1/µm,Segment,3,1,1,100000007,510000001818,
2.75624,1/µm,Segment,1,1,1,100000007,510000001834,
1.15248,1/µm,Segment,2,2,1,100000007,510000001847,
6.52264,1/µm,Segment,3,2,1,100000007,510000001850,
6.20944,1/µm,Segment,2,1,1,100000007,510000001866,
1.90876,1/µm,Segment,1,1,1,100000007,510000001885,
3.32394,1/µm,Segment,2,1,1,100000007,510000001892,
5.88467,1/µm,Segment,2,2,1,100000007,510000001903,
3.54272,1/µm,Segment,2,2,1,100000007,510000001915,
2.70618,1/µm,Segment,1,1,1,100000007,510000001923,
5.63379,1/µm,Segment,1,1,1,100000007,510000001931,
2.41743,1/µm,Segment,3,3,1,100000007,510000001949,
6.07235,1/µm,Segment,3,2,1,100000007,510000001953,
0.471772,1/µm,Segment,0,1,1,100000008,510000001968,
0.0774898,1/µm,Segment,2,1,1,100000008,510000001975,
0.129865,1/µm,Segment,3,1,1,100000008,510000001977,
1.87042,1/µm,Segment,4,1,1,100000008,510000001980,
2.31562,1/µm,Segment,1,2,1,100000008,510000001997,
2.10359,1/µm,Segment,4,2,1,100000008,510000002005,
1.46508,1/µm,Segment,2,2,1,100000008,510000002022,
1.41068,1/µm,Segment,1,2,1,100000008,510000002027,
1.30268,1/µm,Segment,2,2,1,100000008,510000002031,
1.20881,1/µm,Segment,2,2,1,100000008,510000002036,
0.870226,1/µm,Segment,3,2,1,100000008,510000002040,
2.65583,1/µm,Segment,3,3,1,100000008,510000002045,
2.74341,1/µm,Segment,3,2,1,100000008,510000002056,
5.20785,1/µm,Segment,2,2,1,100000008,510000002076,
2.68532,1/µm,Segment,2,3,1,100000008,510000002093,
2.08763,1/µm,Segment,1,2,1,100000009,510000002102,
3.19461,1/µm,Segment,1,2,1,100000009,510000002111,
0.93621,1/µm,Segment,1,1,1,100000009,510000002126,
2.98775,1/µm,Segment,3,1,1,100000009,510000002129,
3.53143,1/µm,Segment,3,2,1,100000009,510000002143,
2.65562,1/µm,Segment,2,2,1,100000009,510000002148,
1.80895,1/µm,Segment,3,2,1,100000009,510000002151,
3.48231,1/µm,Segment,2,2,1,100000009,510000002156,
2.0557,1/µm,Segment,3,3,1,100000009,510000002165,
2.56044,1/µm,Segment,1,2,1,100000009,510000002171,
2.05275,1/µm,Segment,2,2,1,100000009,510000002176,
5.78986,1/µm,Segment,2,3,1,100000009,510000002180,
0.0913192,1/µm,Segment,1,1,1,100000010,510000002194,
0.330188,1/µm,Segment,2,1,1,100000010,510000002196,
1.72346,1/µm,Segment,3,1,1,100000010,510000002202,
1.77459,1/µm,Segment,2,2,1,100000010,510000002218,
7.39007,1/µm,Segment,3,2,1,100000010,510000002226,
0.704322,1/µm,Segment,1,2,1,100000010,510000002246,
6.05149,1/µm,Segment,2,3,1,100000010,510000002248,
7.10018,1/µm,Segment,3,3,1,100000010,510000002263,
1.12994,1/µm,Segment,2,2,1,100000010,510000002278,
3.31033,1/µm,Segment,3,2,1,100000010,510000002281,
3.00938,1/µm,Segment,4,2,1,100000010,510000002290,
11.8782,1/µm,Segment,3,3,1,100000010,510000002302,
6.21889,1/µm,Segment,4,3,1,100000010,510000002331,
1.49551,1/µm,Segment,1,1,1,100000010,510000002342,
1.77165,1/µm,Segment,2,1,1,100000010,510000002358,
0.799523,1/µm,Segment,3,1,1,100000010,510000002363,
1.5423,1/µm,Segment,3,2,1,100000010,510000002365,
6.29036,1/µm,Segment,1,2,1,100000010,510000002368,
3.69247,1/µm,Segment,3,2,1,100000010,510000002382,
1.18477,1/µm,Segment,1,2,1,100000010,510000002396,
3.33085,1/µm,Segment,2,2,1,100000010,510000002399,
1.35037,1/µm,Segment,2,3,1,100000010,510000002407,
1.04873,1/µm,Segment,3,3,1,100000010,510000002412,
3.727,1/µm,Segment,4,3,1,100000010,510000002417,
2.57867,1/µm,Segment,4,4,1,100000010,510000002428,
2.52413,1/µm,Segment,1,2,1,100000010,510000002431,
1.05171,1/µm,Segment,2,2,1,100000010,510000002441,
0.65098,1/µm,Segment,3,2,1,100000010,510000002444,
1.3025,1/µm,Segment,4,2,1,100000010,510000002447,
2.58244,1/µm,Segment,4,3,1,100000010,510000002454,
1.06564,1/µm,Segment,5,3,1,100000010,510000002456,
1.02783,1/µm,Segment,5,4,1,100000010,510000002459,
2.46791,1/µm,Segment,3,3,1,100000010,510000002461,
7.58618,1/µm,Segment,2,3,1,100000010,510000002466,
4.75832,1/µm,Segment,2,2,1,100000010,510000002479,
4.88107,1/µm,Segment,3,4,1,100000010,510000002488,
1.37274,1/µm,Segment,2,1,1,100000011,510000002505,
2.3649,1/µm,Segment,3,1,1,100000011,510000002515,
4.39306,1/µm,Segment,2,2,1,100000011,510000002528,
2.75741,1/µm,Segment,2,3,1,100000011,510000002550,
2.49089,1/µm,Segment,4,2,1,100000011,510000002565,
1.51284,1/µm,Segment,4,3,1,100000011,510000002578,
2.46127,1/µm,Segment,3,3,1,100000011,510000002584,
2.96692,1/µm,Segment,2,3,1,100000011,510000002606,
2.27378,1/µm,Segment,1,1,1,100000011,510000002630,
3.14228,1/µm,Segment,1,2,1,100000011,510000002643,
0.728417,1/µm,Segment,3,2,1,100000011,510000002661,
2.47224,1/µm,Segment,3,3,1,100000011,510000002664,
5.53945,1/µm,Segment,3,2,1,100000011,510000002675,
0.595461,1/µm,Segment,2,1,1,100000012,510000002702,
1.70508,1/µm,Segment,3,1,1,100000012,510000002709,
0.496875,1/µm,Segment,4,1,1,100000012,510000002731,
0.600463,1/µm,Segment,4,2,1,100000012,510000002740,
0.548227,1/µm,Segment,2,2,1,100000012,510000002746,
0.765287,1/µm,Segment,3,2,1,100000012,510000002752,
1.58556,1/µm,Segment,4,2,1,100000012,510000002760,
0.591278,1/µm,Segment,5,2,1,100000012,510000002776,
0.628725,1/µm,Segment,5,3,1,100000012,510000002784,
2.05159,1/µm,Segment,4,3,1,100000012,510000002791,
0.646919,1/µm,Segment,1,1,1,100000012,510000002813,
0.898005,1/µm,Segment,2,1,1,100000012,510000002820,
0.45495,1/µm,Segment,2,2,1,100000012,510000002832,
2.77527,1/µm,Segment,3,2,1,100000012,510000002836,
0.141419,1/µm,Segment,2,1,1,100000012,510000002867,
2.14564,1/µm,Segment,3,1,1,100000012,510000002869,
2.18912,1/µm,Segment,3,2,1,100000012,510000002897,
0.926947,1/µm,Segment,2,2,1,100000012,510000002921,
1.69771,1/µm,Segment,3,2,1,100000012,510000002930,
1.79628,1/µm,Segment,3,3,1,100000012,510000002947,
1.7769,1/µm,Segment,2,2,1,100000012,510000002966,
0.445618,1/µm,Segment,3,3,1,100000012,510000002982,
1.46015,1/µm,Segment,4,3,1,100000012,510000002984,
1.26419,1/µm,Segment,4,4,1,100000012,510000002999,
0.643135,1/µm,Segment,3,2,1,100000012,510000003014,
1.84223,1/µm,Segment,3,3,1,100000012,510000003020,
3.62764,1/µm,Segment,3,1,1,100000013,510000003039,
0.909761,1/µm,Segment,3,2,1,100000013,510000003056,
2.72741,1/µm,Segment,4,2,1,100000013,510000003061,
2.17222,1/µm,Segment,4,3,1,100000013,510000003074,
0.466739,1/µm,Segment,3,2,1,100000013,510000003081,
1.64267,1/µm,Segment,4,2,1,100000013,510000003083,
0.719462,1/µm,Segment,4,3,1,100000013,510000003090,
2.14206,1/µm,Segment,5,3,1,100000013,510000003093,
1.57224,1/µm,Segment,5,4,1,100000013,510000003106,
3.46007,1/µm,Segment,4,3,1,100000013,510000003111,
4.25396,1/µm,Segment,4,4,1,100000013,510000003122,
2.15356,1/µm,Segment,1,1,1,100000013,510000003143,
0.486563,1/µm,Segment,1,1,1,100000013,510000003156,
5.36367,1/µm,Segment,2,1,1,100000013,510000003160,
1.06012,1/µm,Segment,2,2,1,100000013,510000003185,
0.864092,1/µm,Segment,3,2,1,100000013,510000003188,
2.62657,1/µm,Segment,4,2,1,100000013,510000003191,
2.13392,1/µm,Segment,4,3,1,100000013,510000003206,
0.24946,1/µm,Segment,1,1,1,100000013,510000003211,
4.28624,1/µm,Segment,4,1,1,100000013,510000003215,
2.81625,1/µm,Segment,4,2,1,100000013,510000003235,
2.10931,1/µm,Segment,3,2,1,100000013,510000003244,
0.422289,1/µm,Segment,2,2,1,100000013,510000003251,
2.64805,1/µm,Segment,3,2,1,100000013,510000003253,
5.582,1/µm,Segment,3,3,1,100000013,510000003269,
5.44664,1/µm,Segment,3,3,1,100000013,510000003292,
0.587209,1/µm,Segment,2,1,1,100000000,510000003309,
0.123466,1/µm,Segment,1,1,1,100000000,510000003310,
0.33239,1/µm,Segment,2,1,1,100000000,510000003311,
0.160432,1/µm,Segment,1,1,1,100000001,510000003312,
0.244953,1/µm,Segment,2,1,1,100000001,510000003313,
0.175068,1/µm,Segment,1,1,1,100000002,510000003314,
0.153289,1/µm,Segment,1,1,1,100000002,510000003315,
0.347082,1/µm,Segment,2,1,1,100000002,510000003316,
0.0735589,1/µm,Segment,0,1,1,100000003,510000003317,
0.10003,1/µm,Segment,1,1,1,100000003,510000003318,
0.219132,1/µm,Segment,1,2,1,100000003,510000003319,
0.145944,1/µm,Segment,2,2,1,100000003,510000003320,
0.233911,1/µm,Segment,6,4,1,100000003,510000003321,
0.181743,1/µm,Segment,7,4,1,100000003,510000003322,
0.309683,1/µm,Segment,7,5,1,100000003,510000003323,
1.09035,1/µm,Segment,4,5,1,100000003,510000003324,
0.102089,1/µm,Segment,0,1,1,100000004,510000003325,
0.236953,1/µm,Segment,1,2,1,100000004,510000003326,
0.153594,1/µm,Segment,0,1,1,100000004,510000003327,
0.08308,1/µm,Segment,1,1,1,100000005,510000003328,
0.0439288,1/µm,Segment,1,1,1,100000006,510000003329,
0.252083,1/µm,Segment,2,2,1,100000006,510000003330,
0.115434,1/µm,Segment,1,1,1,100000006,510000003331,
0.138799,1/µm,Segment,1,1,1,100000007,510000003332,
0.181888,1/µm,Segment,1,1,1,100000007,510000003333,
0.0317479,1/µm,Segment,0,1,1,100000008,510000003334,
0.0440277,1/µm,Segment,1,1,1,100000008,510000003335,
0.0950022,1/µm,Segment,0,1,1,100000009,510000003336,
0.328441,1/µm,Segment,2,1,1,100000009,510000003337,
0.0402279,1/µm,Segment,0,1,1,100000010,510000003338,
0.057179,1/µm,Segment,0,1,1,100000010,510000003339,
0.0589673,1/µm,Segment,0,1,1,100000011,510000003340,
0.106302,1/µm,Segment,1,1,1,100000011,510000003341,
0.196577,1/µm,Segment,1,2,1,100000011,510000003342,
0.503541,1/µm,Segment,2,2,1,100000011,510000003343,
0.28833,1/µm,Segment,3,2,1,100000011,510000003344,
0.325529,1/µm,Segment,1,2,1,100000011,510000003345,
0.42875,1/µm,Segment,2,2,1,100000011,510000003346,
0.105385,1/µm,Segment,0,1,1,100000011,510000003347,
0.101581,1/µm,Segment,1,1,1,100000012,510000003348,
0.079105,1/µm,Segment,1,1,1,100000012,510000003349,
0.0897685,1/µm,Segment,1,1,1,100000013,510000003350,
0.154848,1/µm,Segment,2,1,1,100000013,510000003351,
0.139959,1/µm,Segment,2,2,1,100000013,510000003352,
0.502255,1/µm,Segment,3,3,1,100000013,510000003353,
0.127683,1/µm,Segment,2,1,1,100000013,510000003354,
0.135989,1/µm,Segment,3,1,1,100000013,510000003355,
