
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
12.696,,Segment,1,3,Image 1,3,1,100000004,510000001272,
48.0507,,Segment,1,4,Image 1,3,1,100000004,510000001275,
40.9507,,Segment,1,4,Image 1,4,1,100000004,510000001293,
73.2386,,Segment,1,2,Image 1,2,1,100000004,510000001302,
44.8135,,Segment,1,3,Image 1,4,1,100000004,510000001319,
65.7415,,Segment,1,1,Image 1,1,1,100000005,510000001337,
78.0368,,Segment,1,1,Image 1,1,1,100000005,510000001375,
49.0453,,Segment,1,2,Image 1,1,1,100000005,510000001403,
67.602,,Segment,1,1,Image 1,1,1,100000005,510000001419,
46.8223,,Segment,1,1,Image 1,1,1,100000005,510000001434,
27.3415,,Segment,1,1,Image 1,1,1,100000005,510000001466,
41.0122,,Segment,1,2,Image 1,1,1,100000005,510000001468,
70.0043,,Segment,1,3,Image 1,1,1,100000005,510000001470,
62.0555,,Segment,1,2,Image 1,2,1,100000005,510000001515,
71.059,,Segment,1,3,Image 1,2,1,100000005,510000001517,
57.0319,,Segment,1,3,Image 1,3,1,100000005,510000001545,
56.4651,,Segment,1,3,Image 1,2,1,100000005,510000001563,
78.4201,,Segment,1,2,Image 1,2,1,100000005,510000001589,
68.5572,,Segment,1,3,Image 1,2,1,100000005,510000001599,
65.5973,,Segment,1,3,Image 1,3,1,100000005,510000001611,
48.0415,,Segment,1,2,Image 1,1,1,100000006,510000001633,
48.4077,,Segment,1,2,Image 1,2,1,100000006,510000001648,
63.1543,,Segment,1,2,Image 1,2,1,100000006,510000001680,
39.8897,,Segment,1,2,Image 1,1,1,100000006,510000001689,
55.6265,,Segment,1,3,Image 1,1,1,100000006,510000001692,
40.659,,Segment,1,2,Image 1,2,1,100000006,510000001734,
56.1801,,Segment,1,3,Image 1,2,1,100000006,510000001744,
24.5951,,Segment,1,3,Image 1,3,1,100000006,510000001753,
24.5284,,Segment,1,1,Image 1,1,1,100000006,510000001759,
56.2778,,Segment,1,3,Image 1,2,1,100000006,510000001769,
66.8477,,Segment,1,3,Image 1,2,1,100000006,510000001778,
69.8373,,Segment,1,3,Image 1,3,1,100000006,510000001796,
40.5709,,Segment,1,2,Image 1,1,1,100000007,510000001816,
56.8699,,Segment,1,3,Image 1,1,1,100000007,510000001818,
33.9842,,Segment,1,1,Image 1,1,1,100000007,510000001834,
60.9303,,Segment,1,2,Image 1,2,1,100000007,510000001847,
37.5153,,Segment,1,3,Image 1,2,1,100000007,510000001850,
43.0059,,Segment,1,2,Image 1,1,1,100000007,510000001866,
64.5134,,Segment,1,1,Image 1,1,1,100000007,510000001885,
35.8477,,Segment,1,2,Image 1,1,1,100000007,510000001892,
40.2723,,Segment,1,2,Image 1,2,1,100000007,510000001903,
54.5934,,Segment,1,2,Image 1,2,1,100000007,510000001915,
71.0964,,Segment,1,1,Image 1,1,1,100000007,510000001923,
55.0712,,Segment,1,1,Image 1,1,1,100000007,510000001931,
23.3773,,Segment,1,3,Image 1,3,1,100000007,510000001949,
55.4339,,Segment,1,3,Image 1,2,1,100000007,510000001953,
46.8028,,Segment,1,0,Image 1,1,1,100000008,510000001968,
13.1993,,Segment,1,2,Image 1,1,1,100000008,510000001975,
47.1083,,Segment,1,3,Image 1,1,1,100000008,510000001977,
31.3604,,Segment,1,4,Image 1,1,1,100000008,510000001980,
63.7113,,Segment,1,1,Image 1,2,1,100000008,510000001997,
41.2014,,Segment,1,4,Image 1,2,1,100000008,510000002005,
61.8897,,Segment,1,2,Image 1,2,1,100000008,510000002022,
41.4072,,Segment,1,1,Image 1,2,1,100000008,510000002027,
30.8113,,Segment,1,2,Image 1,2,1,100000008,510000002031,
27.2573,,Segment,1,2,Image 1,2,1,100000008,510000002036,
36.3715,,Segment,1,3,Image 1,2,1,100000008,510000002040,
53.4168,,Segment,1,3,Image 1,3,1,100000008,510000002045,
56.7548,,Segment,1,3,Image 1,2,1,100000008,510000002056,
63.5918,,Segment,1,2,Image 1,2,1,100000008,510000002076,
41.4329,,Segment,1,2,Image 1,3,1,100000008,510000002093,
46.3137,,Segment,1,1,Image 1,2,1,100000009,510000002102,
27.7082,,Segment,1,1,Image 1,2,1,100000009,510000002111,
26.6208,,Segment,1,1,Image 1,1,1,100000009,510000002126,
40.1593,,Segment,1,3,Image 1,1,1,100000009,510000002129,
68.5624,,Segment,1,3,Image 1,2,1,100000009,510000002143,
61.8602,,Segment,1,2,Image 1,2,1,100000009,510000002148,
19.0955,,Segment,1,3,Image 1,2,1,100000009,510000002151,
53.8335,,Segment,1,2,Image 1,2,1,100000009,510000002156,
24.1331,,Segment,1,3,Image 1,3,1,100000009,510000002165,
33.953,,Segment,1,1,Image 1,2,1,100000009,510000002171,
57.677,,Segment,1,2,Image 1,2,1,100000009,510000002176,
52.7605,,Segment,1,2,Image 1,3,1,100000009,510000002180,
2.35702,,Segment,1,1,Image 1,1,1,100000010,510000002194,
10.3214,,Segment,1,2,Image 1,1,1,100000010,510000002196,
49.203,,Segment,1,3,Image 1,1,1,100000010,510000002202,
18.7287,,Segment,1,2,Image 1,2,1,100000010,510000002218,
53.7088,,Segment,1,3,Image 1,2,1,100000010,510000002226,
17.7451,,Segment,1,1,Image 1,2,1,100000010,510000002246,
33.6238,,Segment,1,2,Image 1,3,1,100000010,510000002248,
39.056,,Segment,1,3,Image 1,3,1,100000010,510000002263,
19.4165,,Segment,1,2,Image 1,2,1,100000010,510000002278,
21.9329,,Segment,1,3,Image 1,2,1,100000010,510000002281,
31.7868,,Segment,1,4,Image 1,2,1,100000010,510000002290,
52.5482,,Segment,1,3,Image 1,3,1,100000010,510000002302,
54.0563,,Segment,1,4,Image 1,3,1,100000010,510000002331,
32.4018,,Segment,1,1,Image 1,1,1,100000010,510000002342,
27.2865,,Segment,1,2,Image 1,1,1,100000010,510000002358,
33.4896,,Segment,1,3,Image 1,1,1,100000010,510000002363,
39.258,,Segment,1,3,Image 1,2,1,100000010,510000002365,
25.1975,,Segment,1,1,Image 1,2,1,100000010,510000002368,
48.2748,,Segment,1,3,Image 1,2,1,100000010,510000002382,
10.3923,,Segment,1,1,Image 1,2,1,100000010,510000002396,
21.4476,,Segment,1,2,Image 1,2,1,100000010,510000002399,
14.4914,,Segment,1,2,Image 1,3,1,100000010,510000002407,
22.0504,,Segment,1,3,Image 1,3,1,100000010,510000002412,
69.7284,,Segment,1,4,Image 1,3,1,100000010,510000002417,
55.0295,,Segment,1,4,Image 1,4,1,100000010,510000002428,
10.4106,,Segment,1,1,Image 1,2,1,100000010,510000002431,
