
Segment Intensity Median Ch=2 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.125,,Segment,2,1,Image 1,1,1,100000000,510000000001,
143.125,,Segment,2,2,Image 1,2,1,100000000,510000000007,
30.125,,Segment,2,1,Image 1,1,1,100000000,510000000045,
59.125,,Segment,2,2,Image 1,1,1,100000000,510000000051,
142.125,,Segment,2,3,Image 1,1,1,100000000,510000000053,
177.125,,Segment,2,2,Image 1,2,1,100000000,510000000095,
29.125,,Segment,2,1,Image 1,1,1,100000000,510000000138,
130.125,,Segment,2,2,Image 1,1,1,100000000,510000000141,
144.125,,Segment,2,2,Image 1,2,1,100000000,510000000158,
117.125,,Segment,2,2,Image 1,2,1,100000000,510000000189,
160.125,,Segment,2,3,Image 1,2,1,100000000,510000000204,
173.125,,Segment,2,3,Image 1,3,1,100000000,510000000217,
144.125,,Segment,2,3,Image 1,1,1,100000000,510000000232,
142.125,,Segment,2,3,Image 1,2,1,100000000,510000000259,
163.125,,Segment,2,3,Image 1,2,1,100000000,510000000294,
172.125,,Segment,2,3,Image 1,2,1,100000000,510000000330,
167.125,,Segment,2,3,Image 1,1,1,100000000,510000000372,
136.625,,Segment,2,3,Image 1,2,1,100000000,510000000414,
144.125,,Segment,2,3,Image 1,1,1,100000001,510000000431,
127.062,,Segment,2,4,Image 1,1,1,100000001,510000000447,
33.125,,Segment,2,1,Image 1,1,1,100000001,510000000450,
170.125,,Segment,2,2,Image 1,1,1,100000001,510000000454,
193.125,,Segment,2,3,Image 1,1,1,100000001,510000000457,
39.125,,Segment,2,1,Image 1,1,1,100000001,510000000474,
181.125,,Segment,2,2,Image 1,1,1,100000001,510000000481,
182.125,,Segment,2,3,Image 1,2,1,100000001,510000000495,
40.125,,Segment,2,1,Image 1,1,1,100000001,510000000505,
139.125,,Segment,2,3,Image 1,2,1,100000001,510000000517,
153.625,,Segment,2,4,Image 1,2,1,100000001,510000000524,
150.125,,Segment,2,2,Image 1,2,1,100000001,510000000529,
38.125,,Segment,2,1,Image 1,1,1,100000001,510000000540,
149.125,,Segment,2,2,Image 1,1,1,100000001,510000000543,
37.125,,Segment,2,1,Image 1,1,1,100000001,510000000562,
163.125,,Segment,2,2,Image 1,2,1,100000001,510000000570,
40.125,,Segment,2,1,Image 1,1,1,100000001,510000000573,
163.125,,Segment,2,2,Image 1,2,1,100000001,510000000580,
175.125,,Segment,2,2,Image 1,2,1,100000001,510000000594,
155.125,,Segment,2,4,Image 1,3,1,100000001,510000000599,
166.125,,Segment,2,4,Image 1,2,1,100000001,510000000610,
175.125,,Segment,2,2,Image 1,1,1,100000002,510000000616,
189.125,,Segment,2,3,Image 1,1,1,100000002,510000000635,
184.125,,Segment,2,3,Image 1,2,1,100000002,510000000663,
114.125,,Segment,2,1,Image 1,1,1,100000002,510000000685,
123.125,,Segment,2,2,Image 1,1,1,100000002,510000000709,
142.125,,Segment,2,3,Image 1,1,1,100000002,510000000711,
148.125,,Segment,2,4,Image 1,1,1,100000002,510000000716,
148.125,,Segment,2,2,Image 1,2,1,100000002,510000000726,
164.125,,Segment,2,4,Image 1,2,1,100000002,510000000743,
167.125,,Segment,2,3,Image 1,2,1,100000002,510000000755,
59.125,,Segment,2,1,Image 1,1,1,100000002,510000000760,
165.125,,Segment,2,3,Image 1,1,1,100000002,510000000765,
167.125,,Segment,2,3,Image 1,2,1,100000002,510000000773,
175.125,,Segment,2,2,Image 1,2,1,100000002,510000000783,
166.125,,Segment,2,2,Image 1,2,1,100000002,510000000798,
71.125,,Segment,2,1,Image 1,1,1,100000002,510000000824,
175.125,,Segment,2,2,Image 1,2,1,100000002,510000000832,
160.125,,Segment,2,2,Image 1,1,1,100000003,510000000846,
48.125,,Segment,2,0,Image 1,1,1,100000003,510000000855,
174.125,,Segment,2,1,Image 1,1,1,100000003,510000000857,
78.125,,Segment,2,3,Image 1,2,1,100000003,510000000884,
150.125,,Segment,2,4,Image 1,2,1,100000003,510000000886,
92.125,,Segment,2,3,Image 1,3,1,100000003,510000000893,
172.125,,Segment,2,4,Image 1,3,1,100000003,510000000899,
163.125,,Segment,2,4,Image 1,4,1,100000003,510000000907,
34.0625,,Segment,2,2,Image 1,3,1,100000003,510000000910,
180.125,,Segment,2,3,Image 1,3,1,100000003,510000000912,
168.125,,Segment,2,3,Image 1,4,1,100000003,510000000934,
175.125,,Segment,2,8,Image 1,4,1,100000003,510000000951,
165.125,,Segment,2,8,Image 1,5,1,100000003,510000000961,
170.125,,Segment,2,8,Image 1,5,1,100000003,510000000979,
173.125,,Segment,2,9,Image 1,5,1,100000003,510000000986,
162.125,,Segment,2,8,Image 1,6,1,100000003,510000000995,
173.125,,Segment,2,9,Image 1,6,1,100000003,510000000997,
162.125,,Segment,2,6,Image 1,5,1,100000003,510000001012,
178.125,,Segment,2,5,Image 1,4,1,100000003,510000001037,
151.125,,Segment,2,4,Image 1,4,1,100000003,510000001057,
181.062,,Segment,2,5,Image 1,5,1,100000003,510000001060,
145.125,,Segment,2,6,Image 1,5,1,100000003,510000001062,
174.125,,Segment,2,9,Image 1,7,1,100000003,510000001072,
192.125,,Segment,2,9,Image 1,6,1,100000003,510000001077,
67.125,,Segment,2,7,Image 1,5,1,100000003,510000001085,
116.125,,Segment,2,2,Image 1,3,1,100000003,510000001099,
163.125,,Segment,2,2,Image 1,2,1,100000003,510000001118,
171.125,,Segment,2,1,Image 1,2,1,100000003,510000001127,
176.125,,Segment,2,4,Image 1,3,1,100000003,510000001138,
164.125,,Segment,2,1,Image 1,2,1,100000003,510000001158,
