
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
5470.17,µm^2,Segment,3,1,1,100000005,510000001470,
500.938,µm^2,Segment,2,2,1,100000005,510000001515,
3100.3,µm^2,Segment,3,2,1,100000005,510000001517,
2233.32,µm^2,Segment,3,3,1,100000005,510000001545,
3032.75,µm^2,Segment,3,2,1,100000005,510000001563,
1609.75,µm^2,Segment,2,2,1,100000005,510000001589,
1452.77,µm^2,Segment,3,2,1,100000005,510000001599,
2205.56,µm^2,Segment,3,3,1,100000005,510000001611,
2325.63,µm^2,Segment,2,1,1,100000006,510000001633,
5183.04,µm^2,Segment,2,2,1,100000006,510000001648,
1031.53,µm^2,Segment,2,2,1,100000006,510000001680,
464.763,µm^2,Segment,2,1,1,100000006,510000001689,
4074.28,µm^2,Segment,3,1,1,100000006,510000001692,
826.186,µm^2,Segment,2,2,1,100000006,510000001734,
503.915,µm^2,Segment,3,2,1,100000006,510000001744,
487.526,µm^2,Segment,3,3,1,100000006,510000001753,
1207.72,µm^2,Segment,1,1,1,100000006,510000001759,
685.258,µm^2,Segment,3,2,1,100000006,510000001769,
1057.12,µm^2,Segment,3,2,1,100000006,510000001778,
1159.39,µm^2,Segment,3,3,1,100000006,510000001796,
213.175,µm^2,Segment,2,1,1,100000007,510000001816,
1185.08,µm^2,Segment,3,1,1,100000007,510000001818,
1436.97,µm^2,Segment,1,1,1,100000007,510000001834,
346.732,µm^2,Segment,2,2,1,100000007,510000001847,
998.05,µm^2,Segment,3,2,1,100000007,510000001850,
1351.91,µm^2,Segment,2,1,1,100000007,510000001866,
928.019,µm^2,Segment,1,1,1,100000007,510000001885,
562.94,µm^2,Segment,2,1,1,100000007,510000001892,
837.932,µm^2,Segment,2,2,1,100000007,510000001903,
631.281,µm^2,Segment,2,2,1,100000007,510000001915,
986.142,µm^2,Segment,1,1,1,100000007,510000001923,
1544.78,µm^2,Segment,1,1,1,100000007,510000001931,
352.918,µm^2,Segment,3,3,1,100000007,510000001949,
993.508,µm^2,Segment,3,2,1,100000007,510000001953,
2548.64,µm^2,Segment,0,1,1,100000008,510000001968,
147.123,µm^2,Segment,2,1,1,100000008,510000001975,
208.896,µm^2,Segment,3,1,1,100000008,510000001977,
1588.29,µm^2,Segment,4,1,1,100000008,510000001980,
