
Segment Number of Voxel Ch=2 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
46481,,Segment,2,1,Image 1,1,1,100000005,510000001375,
18927,,Segment,2,2,Image 1,1,1,100000005,510000001403,
33996,,Segment,2,1,Image 1,1,1,100000005,510000001419,
50243,,Segment,2,1,Image 1,1,1,100000005,510000001434,
19478,,Segment,2,1,Image 1,1,1,100000005,510000001466,
4939,,Segment,2,2,Image 1,1,1,100000005,510000001468,
48517,,Segment,2,3,Image 1,1,1,100000005,510000001470,
6019,,Segment,2,2,Image 1,2,1,100000005,510000001515,
25935,,Segment,2,3,Image 1,2,1,100000005,510000001517,
17749,,Segment,2,3,Image 1,3,1,100000005,510000001545,
25259,,Segment,2,3,Image 1,2,1,100000005,510000001563,
14881,,Segment,2,2,Image 1,2,1,100000005,510000001589,
12061,,Segment,2,3,Image 1,2,1,100000005,510000001599,
17878,,Segment,2,3,Image 1,3,1,100000005,510000001611,
27674,,Segment,2,2,Image 1,1,1,100000006,510000001633,
54503,,Segment,2,2,Image 1,2,1,100000006,510000001648,
9922,,Segment,2,2,Image 1,2,1,100000006,510000001680,
4545,,Segment,2,2,Image 1,1,1,100000006,510000001689,
29648,,Segment,2,3,Image 1,1,1,100000006,510000001692,
4890,,Segment,2,2,Image 1,2,1,100000006,510000001734,
2274,,Segment,2,3,Image 1,2,1,100000006,510000001744,
2074,,Segment,2,3,Image 1,3,1,100000006,510000001753,
10544,,Segment,2,1,Image 1,1,1,100000006,510000001759,
3937,,Segment,2,3,Image 1,2,1,100000006,510000001769,
5311,,Segment,2,3,Image 1,2,1,100000006,510000001778,
5245,,Segment,2,3,Image 1,3,1,100000006,510000001796,
2117,,Segment,2,2,Image 1,1,1,100000007,510000001816,
7327,,Segment,2,3,Image 1,1,1,100000007,510000001818,
12523,,Segment,2,1,Image 1,1,1,100000007,510000001834,
2410,,Segment,2,2,Image 1,2,1,100000007,510000001847,
3878,,Segment,2,3,Image 1,2,1,100000007,510000001850,
6394,,Segment,2,2,Image 1,1,1,100000007,510000001866,
9600,,Segment,2,1,Image 1,1,1,100000007,510000001885,
2632,,Segment,2,2,Image 1,1,1,100000007,510000001892,
3455,,Segment,2,2,Image 1,2,1,100000007,510000001903,
3245,,Segment,2,2,Image 1,2,1,100000007,510000001915,
9967,,Segment,2,1,Image 1,1,1,100000007,510000001923,
12291,,Segment,2,1,Image 1,1,1,100000007,510000001931,
1589,,Segment,2,3,Image 1,3,1,100000007,510000001949,
4285,,Segment,2,3,Image 1,2,1,100000007,510000001953,
34106,,Segment,2,0,Image 1,1,1,100000008,510000001968,
3175,,Segment,2,2,Image 1,1,1,100000008,510000001975,
3356,,Segment,2,3,Image 1,1,1,100000008,510000001977,
12856,,Segment,2,4,Image 1,1,1,100000008,510000001980,
14735,,Segment,2,1,Image 1,2,1,100000008,510000001997,
10761,,Segment,2,4,Image 1,2,1,100000008,510000002005,
9885,,Segment,2,2,Image 1,2,1,100000008,510000002022,
12337,,Segment,2,1,Image 1,2,1,100000008,510000002027,
5523,,Segment,2,2,Image 1,2,1,100000008,510000002031,
9378,,Segment,2,2,Image 1,2,1,100000008,510000002036,
3748,,Segment,2,3,Image 1,2,1,100000008,510000002040,
9836,,Segment,2,3,Image 1,3,1,100000008,510000002045,
14294,,Segment,2,3,Image 1,2,1,100000008,510000002056,
25648,,Segment,2,2,Image 1,2,1,100000008,510000002076,
10184,,Segment,2,2,Image 1,3,1,100000008,510000002093,
13865,,Segment,2,1,Image 1,2,1,100000009,510000002102,
8467,,Segment,2,1,Image 1,2,1,100000009,510000002111,
6901,,Segment,2,1,Image 1,1,1,100000009,510000002126,
4462,,Segment,2,3,Image 1,1,1,100000009,510000002129,
4611,,Segment,2,3,Image 1,2,1,100000009,510000002143,
4066,,Segment,2,2,Image 1,2,1,100000009,510000002148,
2220,,Segment,2,3,Image 1,2,1,100000009,510000002151,
4785,,Segment,2,2,Image 1,2,1,100000009,510000002156,
2465,,Segment,2,3,Image 1,3,1,100000009,510000002165,
9447,,Segment,2,1,Image 1,2,1,100000009,510000002171,
2758,,Segment,2,2,Image 1,2,1,100000009,510000002176,
6893,,Segment,2,2,Image 1,3,1,100000009,510000002180,
5621,,Segment,2,1,Image 1,1,1,100000010,510000002194,
8422,,Segment,2,2,Image 1,1,1,100000010,510000002196,
15819,,Segment,2,3,Image 1,1,1,100000010,510000002202,
8364,,Segment,2,2,Image 1,2,1,100000010,510000002218,
10976,,Segment,2,3,Image 1,2,1,100000010,510000002226,
7822,,Segment,2,1,Image 1,2,1,100000010,510000002246,
10115,,Segment,2,2,Image 1,3,1,100000010,510000002248,
9402,,Segment,2,3,Image 1,3,1,100000010,510000002263,
2276,,Segment,2,2,Image 1,2,1,100000010,510000002278,
4283,,Segment,2,3,Image 1,2,1,100000010,510000002281,
3610,,Segment,2,4,Image 1,2,1,100000010,510000002290,
13485,,Segment,2,3,Image 1,3,1,100000010,510000002302,
7188,,Segment,2,4,Image 1,3,1,100000010,510000002331,
11609,,Segment,2,1,Image 1,1,1,100000010,510000002342,
4193,,Segment,2,2,Image 1,1,1,100000010,510000002358,
1253,,Segment,2,3,Image 1,1,1,100000010,510000002363,
2041,,Segment,2,3,Image 1,2,1,100000010,510000002365,
14679,,Segment,2,1,Image 1,2,1,100000010,510000002368,
8096,,Segment,2,3,Image 1,2,1,100000010,510000002382,
6875,,Segment,2,1,Image 1,2,1,100000010,510000002396,
4922,,Segment,2,2,Image 1,2,1,100000010,510000002399,
2096,,Segment,2,2,Image 1,3,1,100000010,510000002407,
1467,,Segment,2,3,Image 1,3,1,100000010,510000002412,
4418,,Segment,2,4,Image 1,3,1,100000010,510000002417,
3095,,Segment,2,4,Image 1,4,1,100000010,510000002428,
9749,,Segment,2,1,Image 1,2,1,100000010,510000002431,
1802,,Segment,2,2,Image 1,2,1,100000010,510000002441,
1078,,Segment,2,3,Image 1,2,1,100000010,510000002444,
1727,,Segment,2,4,Image 1,2,1,100000010,510000002447,
3228,,Segment,2,4,Image 1,3,1,100000010,510000002454,
1391,,Segment,2,5,Image 1,3,1,100000010,510000002456,
1359,,Segment,2,5,Image 1,4,1,100000010,510000002459,
3057,,Segment,2,3,Image 1,3,1,100000010,510000002461,
9069,,Segment,2,2,Image 1,3,1,100000010,510000002466,
6736,,Segment,2,2,Image 1,2,1,100000010,510000002479,
5682,,Segment,2,3,Image 1,4,1,100000010,510000002488,
9198,,Segment,2,2,Image 1,1,1,100000011,510000002505,
7783,,Segment,2,3,Image 1,1,1,100000011,510000002515,
14302,,Segment,2,2,Image 1,2,1,100000011,510000002528,
8432,,Segment,2,2,Image 1,3,1,100000011,510000002550,
6513,,Segment,2,4,Image 1,2,1,100000011,510000002565,
3985,,Segment,2,4,Image 1,3,1,100000011,510000002578,
6296,,Segment,2,3,Image 1,3,1,100000011,510000002584,
8788,,Segment,2,2,Image 1,3,1,100000011,510000002606,
11223,,Segment,2,1,Image 1,1,1,100000011,510000002630,
10422,,Segment,2,1,Image 1,2,1,100000011,510000002643,
2133,,Segment,2,3,Image 1,2,1,100000011,510000002661,
6315,,Segment,2,3,Image 1,3,1,100000011,510000002664,
14772,,Segment,2,3,Image 1,2,1,100000011,510000002675,
11668,,Segment,2,2,Image 1,1,1,100000012,510000002702,
24045,,Segment,2,3,Image 1,1,1,100000012,510000002709,
6406,,Segment,2,4,Image 1,1,1,100000012,510000002731,
7821,,Segment,2,4,Image 1,2,1,100000012,510000002740,
8801,,Segment,2,2,Image 1,2,1,100000012,510000002746,
10136,,Segment,2,3,Image 1,2,1,100000012,510000002752,
18734,,Segment,2,4,Image 1,2,1,100000012,510000002760,
7652,,Segment,2,5,Image 1,2,1,100000012,510000002776,
7999,,Segment,2,5,Image 1,3,1,100000012,510000002784,
23408,,Segment,2,4,Image 1,3,1,100000012,510000002791,
15809,,Segment,2,1,Image 1,1,1,100000012,510000002813,
12201,,Segment,2,2,Image 1,1,1,100000012,510000002820,
8005,,Segment,2,2,Image 1,2,1,100000012,510000002832,
33238,,Segment,2,3,Image 1,2,1,100000012,510000002836,
4548,,Segment,2,2,Image 1,1,1,100000012,510000002867,
30269,,Segment,2,3,Image 1,1,1,100000012,510000002869,
26264,,Segment,2,3,Image 1,2,1,100000012,510000002897,
13686,,Segment,2,2,Image 1,2,1,100000012,510000002921,
19368,,Segment,2,3,Image 1,2,1,100000012,510000002930,
20980,,Segment,2,3,Image 1,3,1,100000012,510000002947,
20521,,Segment,2,2,Image 1,2,1,100000012,510000002966,
6320,,Segment,2,3,Image 1,3,1,100000012,510000002982,
15777,,Segment,2,4,Image 1,3,1,100000012,510000002984,
14950,,Segment,2,4,Image 1,4,1,100000012,510000002999,
8303,,Segment,2,3,Image 1,2,1,100000012,510000003014,
21668,,Segment,2,3,Image 1,3,1,100000012,510000003020,
10178,,Segment,2,3,Image 1,1,1,100000013,510000003039,
2452,,Segment,2,3,Image 1,2,1,100000013,510000003056,
3691,,Segment,2,4,Image 1,2,1,100000013,510000003061,
2802,,Segment,2,4,Image 1,3,1,100000013,510000003074,
1202,,Segment,2,3,Image 1,2,1,100000013,510000003081,
2446,,Segment,2,4,Image 1,2,1,100000013,510000003083,
1200,,Segment,2,4,Image 1,3,1,100000013,510000003090,
2621,,Segment,2,5,Image 1,3,1,100000013,510000003093,
1964,,Segment,2,5,Image 1,4,1,100000013,510000003106,
4278,,Segment,2,4,Image 1,3,1,100000013,510000003111,
5015,,Segment,2,4,Image 1,4,1,100000013,510000003122,
17180,,Segment,2,1,Image 1,1,1,100000013,510000003143,
17017,,Segment,2,1,Image 1,1,1,100000013,510000003156,
14202,,Segment,2,2,Image 1,1,1,100000013,510000003160,
3292,,Segment,2,2,Image 1,2,1,100000013,510000003185,
1446,,Segment,2,3,Image 1,2,1,100000013,510000003188,
3427,,Segment,2,4,Image 1,2,1,100000013,510000003191,
2623,,Segment,2,4,Image 1,3,1,100000013,510000003206,
14871,,Segment,2,1,Image 1,1,1,100000013,510000003211,
11103,,Segment,2,4,Image 1,1,1,100000013,510000003215,
4969,,Segment,2,4,Image 1,2,1,100000013,510000003235,
4290,,Segment,2,3,Image 1,2,1,100000013,510000003244,
2072,,Segment,2,2,Image 1,2,1,100000013,510000003251,
3752,,Segment,2,3,Image 1,2,1,100000013,510000003253,
6635,,Segment,2,3,Image 1,3,1,100000013,510000003269,
6743,,Segment,2,3,Image 1,3,1,100000013,510000003292,
327,,Segment,2,2,Image 1,1,1,100000000,510000003309,
2205,,Segment,2,1,Image 1,1,1,100000000,510000003310,
351,,Segment,2,2,Image 1,1,1,100000000,510000003311,
4275,,Segment,2,1,Image 1,1,1,100000001,510000003312,
787,,Segment,2,2,Image 1,1,1,100000001,510000003313,
6121,,Segment,2,1,Image 1,1,1,100000002,510000003314,
5796,,Segment,2,1,Image 1,1,1,100000002,510000003315,
537,,Segment,2,2,Image 1,1,1,100000002,510000003316,
11072,,Segment,2,0,Image 1,1,1,100000003,510000003317,
3883,,Segment,2,1,Image 1,1,1,100000003,510000003318,
5284,,Segment,2,1,Image 1,2,1,100000003,510000003319,
2572,,Segment,2,2,Image 1,2,1,100000003,510000003320,
4551,,Segment,2,6,Image 1,4,1,100000003,510000003321,
4093,,Segment,2,7,Image 1,4,1,100000003,510000003322,
5234,,Segment,2,7,Image 1,5,1,100000003,510000003323,
107,,Segment,2,4,Image 1,5,1,100000003,510000003324,
5305,,Segment,2,0,Image 1,1,1,100000004,510000003325,
3744,,Segment,2,1,Image 1,2,1,100000004,510000003326,
5027,,Segment,2,0,Image 1,1,1,100000004,510000003327,
19004,,Segment,2,1,Image 1,1,1,100000005,510000003328,
6420,,Segment,2,1,Image 1,1,1,100000006,510000003329,
4735,,Segment,2,2,Image 1,2,1,100000006,510000003330,
7275,,Segment,2,1,Image 1,1,1,100000006,510000003331,
6465,,Segment,2,1,Image 1,1,1,100000007,510000003332,
