
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
149.804,,Segment,1,4,Image 1,4,1,100000004,510000001293,
143.628,,Segment,1,2,Image 1,2,1,100000004,510000001302,
152.758,,Segment,1,3,Image 1,4,1,100000004,510000001319,
123.278,,Segment,1,1,Image 1,1,1,100000005,510000001337,
167.519,,Segment,1,1,Image 1,1,1,100000005,510000001375,
148.281,,Segment,1,2,Image 1,1,1,100000005,510000001403,
184.595,,Segment,1,1,Image 1,1,1,100000005,510000001419,
200.891,,Segment,1,1,Image 1,1,1,100000005,510000001434,
228.007,,Segment,1,1,Image 1,1,1,100000005,510000001466,
171.843,,Segment,1,2,Image 1,1,1,100000005,510000001468,
136.5,,Segment,1,3,Image 1,1,1,100000005,510000001470,
161.836,,Segment,1,2,Image 1,2,1,100000005,510000001515,
132.868,,Segment,1,3,Image 1,2,1,100000005,510000001517,
115.237,,Segment,1,3,Image 1,3,1,100000005,510000001545,
128.287,,Segment,1,3,Image 1,2,1,100000005,510000001563,
147.987,,Segment,1,2,Image 1,2,1,100000005,510000001589,
165.076,,Segment,1,3,Image 1,2,1,100000005,510000001599,
133.133,,Segment,1,3,Image 1,3,1,100000005,510000001611,
138.537,,Segment,1,2,Image 1,1,1,100000006,510000001633,
133.683,,Segment,1,2,Image 1,2,1,100000006,510000001648,
141.46,,Segment,1,2,Image 1,2,1,100000006,510000001680,
163.838,,Segment,1,2,Image 1,1,1,100000006,510000001689,
171.882,,Segment,1,3,Image 1,1,1,100000006,510000001692,
189.644,,Segment,1,2,Image 1,2,1,100000006,510000001734,
133.348,,Segment,1,3,Image 1,2,1,100000006,510000001744,
154.582,,Segment,1,3,Image 1,3,1,100000006,510000001753,
168.785,,Segment,1,1,Image 1,1,1,100000006,510000001759,
94.5187,,Segment,1,3,Image 1,2,1,100000006,510000001769,
158.01,,Segment,1,3,Image 1,2,1,100000006,510000001778,
174.103,,Segment,1,3,Image 1,3,1,100000006,510000001796,
148.515,,Segment,1,2,Image 1,1,1,100000007,510000001816,
168.927,,Segment,1,3,Image 1,1,1,100000007,510000001818,
210.038,,Segment,1,1,Image 1,1,1,100000007,510000001834,
197.398,,Segment,1,2,Image 1,2,1,100000007,510000001847,
157.62,,Segment,1,3,Image 1,2,1,100000007,510000001850,
173.086,,Segment,1,2,Image 1,1,1,100000007,510000001866,
225.496,,Segment,1,1,Image 1,1,1,100000007,510000001885,
143.527,,Segment,1,2,Image 1,1,1,100000007,510000001892,
146.71,,Segment,1,2,Image 1,2,1,100000007,510000001903,
151.543,,Segment,1,2,Image 1,2,1,100000007,510000001915,
205.607,,Segment,1,1,Image 1,1,1,100000007,510000001923,
194.968,,Segment,1,1,Image 1,1,1,100000007,510000001931,
197.913,,Segment,1,3,Image 1,3,1,100000007,510000001949,
152.216,,Segment,1,3,Image 1,2,1,100000007,510000001953,
179.38,,Segment,1,0,Image 1,1,1,100000008,510000001968,
218.653,,Segment,1,2,Image 1,1,1,100000008,510000001975,
183.928,,Segment,1,3,Image 1,1,1,100000008,510000001977,
104.768,,Segment,1,4,Image 1,1,1,100000008,510000001980,
175.171,,Segment,1,1,Image 1,2,1,100000008,510000001997,
126.443,,Segment,1,4,Image 1,2,1,100000008,510000002005,
157.878,,Segment,1,2,Image 1,2,1,100000008,510000002022,
223.455,,Segment,1,1,Image 1,2,1,100000008,510000002027,
160.907,,Segment,1,2,Image 1,2,1,100000008,510000002031,
214.692,,Segment,1,2,Image 1,2,1,100000008,510000002036,
138.259,,Segment,1,3,Image 1,2,1,100000008,510000002040,
103.94,,Segment,1,3,Image 1,3,1,100000008,510000002045,
