
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
4866,,Segment,1,1,Image 1,1,1,100000005,510000001375,
3108,,Segment,1,2,Image 1,1,1,100000005,510000001403,
2435,,Segment,1,1,Image 1,1,1,100000005,510000001419,
7191,,Segment,1,1,Image 1,1,1,100000005,510000001434,
707,,Segment,1,1,Image 1,1,1,100000005,510000001466,
678,,Segment,1,2,Image 1,1,1,100000005,510000001468,
7668,,Segment,1,3,Image 1,1,1,100000005,510000001470,
502,,Segment,1,2,Image 1,2,1,100000005,510000001515,
4374,,Segment,1,3,Image 1,2,1,100000005,510000001517,
2305,,Segment,1,3,Image 1,3,1,100000005,510000001545,
4418,,Segment,1,3,Image 1,2,1,100000005,510000001563,
2058,,Segment,1,2,Image 1,2,1,100000005,510000001589,
2736,,Segment,1,3,Image 1,2,1,100000005,510000001599,
3120,,Segment,1,3,Image 1,3,1,100000005,510000001611,
2786,,Segment,1,2,Image 1,1,1,100000006,510000001633,
5983,,Segment,1,2,Image 1,2,1,100000006,510000001648,
1193,,Segment,1,2,Image 1,2,1,100000006,510000001680,
751,,Segment,1,2,Image 1,1,1,100000006,510000001689,
7878,,Segment,1,3,Image 1,1,1,100000006,510000001692,
2140,,Segment,1,2,Image 1,2,1,100000006,510000001734,
1570,,Segment,1,3,Image 1,2,1,100000006,510000001744,
915,,Segment,1,3,Image 1,3,1,100000006,510000001753,
814,,Segment,1,1,Image 1,1,1,100000006,510000001759,
762,,Segment,1,3,Image 1,2,1,100000006,510000001769,
2760,,Segment,1,3,Image 1,2,1,100000006,510000001778,
3327,,Segment,1,3,Image 1,3,1,100000006,510000001796,
516,,Segment,1,2,Image 1,1,1,100000007,510000001816,
3396,,Segment,1,3,Image 1,1,1,100000007,510000001818,
3207,,Segment,1,1,Image 1,1,1,100000007,510000001834,
780,,Segment,1,2,Image 1,2,1,100000007,510000001847,
2771,,Segment,1,3,Image 1,2,1,100000007,510000001850,
3714,,Segment,1,2,Image 1,1,1,100000007,510000001866,
1419,,Segment,1,1,Image 1,1,1,100000007,510000001885,
1660,,Segment,1,2,Image 1,1,1,100000007,510000001892,
1719,,Segment,1,2,Image 1,2,1,100000007,510000001903,
1578,,Segment,1,2,Image 1,2,1,100000007,510000001915,
1327,,Segment,1,1,Image 1,1,1,100000007,510000001923,
3021,,Segment,1,1,Image 1,1,1,100000007,510000001931,
864,,Segment,1,3,Image 1,3,1,100000007,510000001949,
2132,,Segment,1,3,Image 1,2,1,100000007,510000001953,
448,,Segment,1,0,Image 1,1,1,100000008,510000001968,
692,,Segment,1,2,Image 1,1,1,100000008,510000001975,
657,,Segment,1,3,Image 1,1,1,100000008,510000001977,
1809,,Segment,1,4,Image 1,1,1,100000008,510000001980,
1498,,Segment,1,1,Image 1,2,1,100000008,510000001997,
1848,,Segment,1,4,Image 1,2,1,100000008,510000002005,
912,,Segment,1,2,Image 1,2,1,100000008,510000002022,
