
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
109631,6013.2,18.4689,µm,Segment,Segment Position,1,2,1,100000011,510000003345,
109869,5410.01,8.91448,µm,Segment,Segment Position,2,1,1,100000000,510000000051,
109871,5370.14,10.157,µm,Segment,Segment Position,2,1,1,100000000,510000000141,
110163,5722.63,3.10812,µm,Segment,Segment Position,2,1,1,100000001,510000000454,
110125,5733.18,16.831,µm,Segment,Segment Position,2,1,1,100000001,510000000481,
110238,5750.25,11.8333,µm,Segment,Segment Position,2,1,1,100000001,510000000543,
109426,5164.7,12.8386,µm,Segment,Segment Position,2,1,1,100000002,510000000616,
109366,5176.95,3.49781,µm,Segment,Segment Position,2,1,1,100000002,510000000709,
109826,5735.89,19.2007,µm,Segment,Segment Position,2,1,1,100000003,510000000846,
110087,6048.17,18.5396,µm,Segment,Segment Position,2,1,1,100000004,510000001244,
110382,5822.9,15.9308,µm,Segment,Segment Position,2,1,1,100000005,510000001403,
110430,5839.61,9.04671,µm,Segment,Segment Position,2,1,1,100000005,510000001468,
109482,5568.08,14.5748,µm,Segment,Segment Position,2,1,1,100000006,510000001633,
109441,5594.31,19.1747,µm,Segment,Segment Position,2,1,1,100000006,510000001689,
109110,5670.09,12.6634,µm,Segment,Segment Position,2,1,1,100000007,510000001816,
109089,5616.39,13.0747,µm,Segment,Segment Position,2,1,1,100000007,510000001866,
109131,5611.43,15.1428,µm,Segment,Segment Position,2,1,1,100000007,510000001892,
109275,6305.12,14.3093,µm,Segment,Segment Position,2,1,1,100000008,510000001975,
109522,6280.39,-14.9804,µm,Segment,Segment Position,2,1,1,100000010,510000002196,
109482,6206.52,11.0633,µm,Segment,Segment Position,2,1,1,100000010,510000002358,
109646,5991.35,14.538,µm,Segment,Segment Position,2,1,1,100000011,510000002505,
110543,6028.46,18.6456,µm,Segment,Segment Position,2,1,1,100000012,510000002702,
110600,6071.08,15.2383,µm,Segment,Segment Position,2,1,1,100000012,510000002820,
110527,6056.51,15.6085,µm,Segment,Segment Position,2,1,1,100000012,510000002867,
110054,5519.58,16.3932,µm,Segment,Segment Position,2,1,1,100000013,510000003160,
109835,5408.45,10.3608,µm,Segment,Segment Position,2,1,1,100000000,510000003309,
109852,5392.73,11.5257,µm,Segment,Segment Position,2,1,1,100000000,510000003311,
110195,5702.87,7.71017,µm,Segment,Segment Position,2,1,1,100000001,510000003313,
109377,5205.09,6.82741,µm,Segment,Segment Position,2,1,1,100000002,510000003316,
110198,6138.34,16.4773,µm,Segment,Segment Position,2,1,1,100000009,510000003337,
110041,5432.49,19.4767,µm,Segment,Segment Position,2,1,1,100000013,510000003351,
110013,5442.17,18.8989,µm,Segment,Segment Position,2,1,1,100000013,510000003354,
109815,5451.52,15.2674,µm,Segment,Segment Position,2,2,1,100000000,510000000007,
109901,5368.74,11.1732,µm,Segment,Segment Position,2,2,1,100000000,510000000095,
109875,5358.48,-1.19406,µm,Segment,Segment Position,2,2,1,100000000,510000000158,
109853,5375.82,15.6493,µm,Segment,Segment Position,2,2,1,100000000,510000000189,
110223,5701.49,13.1096,µm,Segment,Segment Position,2,2,1,100000001,510000000529,
110159,5717.9,1.99183,µm,Segment,Segment Position,2,2,1,100000001,510000000570,
110208,5759.05,12.8046,µm,Segment,Segment Position,2,2,1,100000001,510000000580,
110157,5737.91,15.1428,µm,Segment,Segment Position,2,2,1,100000001,510000000594,
109340,5145.93,9.37994,µm,Segment,Segment Position,2,2,1,100000002,510000000726,
109413,5206.29,9.05787,µm,Segment,Segment Position,2,2,1,100000002,510000000783,
109431,5251.18,13.4573,µm,Segment,Segment Position,2,2,1,100000002,510000000798,
109402,5156.76,2.59676,µm,Segment,Segment Position,2,2,1,100000002,510000000832,
109814,5723.28,19.2354,µm,Segment,Segment Position,2,2,1,100000003,510000001118,
110034,6074.51,14.3157,µm,Segment,Segment Position,2,2,1,100000004,510000001196,
110075,6039.89,15.493,µm,Segment,Segment Position,2,2,1,100000004,510000001302,
110431,5841.35,7.94863,µm,Segment,Segment Position,2,2,1,100000005,510000001515,
110391,5799.45,5.80045,µm,Segment,Segment Position,2,2,1,100000005,510000001589,
109499,5508.32,14.9628,µm,Segment,Segment Position,2,2,1,100000006,510000001648,
109441,5562.2,13.4476,µm,Segment,Segment Position,2,2,1,100000006,510000001680,
109456,5609.41,18.6615,µm,Segment,Segment Position,2,2,1,100000006,510000001734,
109110,5676.67,13.4861,µm,Segment,Segment Position,2,2,1,100000007,510000001847,
109156,5623.45,17.5204,µm,Segment,Segment Position,2,2,1,100000007,510000001903,
109078,5655.34,5.87163,µm,Segment,Segment Position,2,2,1,100000007,510000001915,
109293,6315.26,16.404,µm,Segment,Segment Position,2,2,1,100000008,510000002022,
109247,6236.93,15.7485,µm,Segment,Segment Position,2,2,1,100000008,510000002031,
109275,6287.02,14.4617,µm,Segment,Segment Position,2,2,1,100000008,510000002036,
109193,6302.81,12.7317,µm,Segment,Segment Position,2,2,1,100000008,510000002076,
110188,6125.19,14.8433,µm,Segment,Segment Position,2,2,1,100000009,510000002148,
110168,6140.69,9.16236,µm,Segment,Segment Position,2,2,1,100000009,510000002156,
110127,6206.29,17.9545,µm,Segment,Segment Position,2,2,1,100000009,510000002176,
109513,6299.65,-12.1383,µm,Segment,Segment Position,2,2,1,100000010,510000002218,
109499,6301.84,-16.5052,µm,Segment,Segment Position,2,2,1,100000010,510000002278,
109446,6244.27,-20.6833,µm,Segment,Segment Position,2,2,1,100000010,510000002399,
109454,6309.35,-2.16369,µm,Segment,Segment Position,2,2,1,100000010,510000002441,
109509,6192.38,15.1227,µm,Segment,Segment Position,2,2,1,100000010,510000002479,
109683,5976.42,18.0425,µm,Segment,Segment Position,2,2,1,100000011,510000002528,
110546,6035.2,15.5868,µm,Segment,Segment Position,2,2,1,100000012,510000002746,
110531,6046.11,16.3677,µm,Segment,Segment Position,2,2,1,100000012,510000002832,
110535,6077.66,12.5681,µm,Segment,Segment Position,2,2,1,100000012,510000002921,
110607,6100.04,18.0805,µm,Segment,Segment Position,2,2,1,100000012,510000002966,
110018,5475.19,18.8011,µm,Segment,Segment Position,2,2,1,100000013,510000003185,
110015,5443.75,17.5871,µm,Segment,Segment Position,2,2,1,100000013,510000003251,
109793,5759.93,17.5924,µm,Segment,Segment Position,2,2,1,100000003,510000003320,
109455,5577.49,18.0866,µm,Segment,Segment Position,2,2,1,100000006,510000003330,
109639,6015.99,18.7163,µm,Segment,Segment Position,2,2,1,100000011,510000003343,
109622,6023.05,17.9232,µm,Segment,Segment Position,2,2,1,100000011,510000003346,
110041,5432.49,19.4767,µm,Segment,Segment Position,2,2,1,100000013,510000003352,
109795,5759.25,16.107,µm,Segment,Segment Position,2,3,1,100000003,510000000910,
109839,5771.15,11.4137,µm,Segment,Segment Position,2,3,1,100000003,510000001099,
110011,6083.28,14.8283,µm,Segment,Segment Position,2,3,1,100000004,510000001259,
110040,6094.02,16.5638,µm,Segment,Segment Position,2,3,1,100000004,510000001270,
109223,6227.41,17.5129,µm,Segment,Segment Position,2,3,1,100000008,510000002093,
110141,6242.88,13.6797,µm,Segment,Segment Position,2,3,1,100000009,510000002180,
109537,6345.51,-18.1203,µm,Segment,Segment Position,2,3,1,100000010,510000002248,
109467,6266.92,-14.6363,µm,Segment,Segment Position,2,3,1,100000010,510000002407,
109416,6357.32,-1.44629,µm,Segment,Segment Position,2,3,1,100000010,510000002466,
109669,6009.76,19.0926,µm,Segment,Segment Position,2,3,1,100000011,510000002550,
109596,6049.32,4.9419,µm,Segment,Segment Position,2,3,1,100000011,510000002606,
109919,5408.46,10.8293,µm,Segment,Segment Position,3,1,1,100000000,510000000053,
109801,5394.52,13.5105,µm,Segment,Segment Position,3,1,1,100000000,510000000232,
109830,5346.75,11.8676,µm,Segment,Segment Position,3,1,1,100000000,510000000372,
110218,5677.53,16.3288,µm,Segment,Segment Position,3,1,1,100000001,510000000431,
110127,5756.71,7.80449,µm,Segment,Segment Position,3,1,1,100000001,510000000457,
109523,5204.29,14.6957,µm,Segment,Segment Position,3,1,1,100000002,510000000635,
109351,5168.21,1.0131,µm,Segment,Segment Position,3,1,1,100000002,510000000711,
109382,5226.24,5.85757,µm,Segment,Segment Position,3,1,1,100000002,510000000765,
110449,5942.67,9.03917,µm,Segment,Segment Position,3,1,1,100000005,510000001470,
109392,5693.16,7.69238,µm,Segment,Segment Position,3,1,1,100000006,510000001692,
109144,5653.5,6.83729,µm,Segment,Segment Position,3,1,1,100000007,510000001818,
109277,6308.25,9.53129,µm,Segment,Segment Position,3,1,1,100000008,510000001977,
110203,6108.05,4.196,µm,Segment,Segment Position,3,1,1,100000009,510000002129,
109568,6289.47,4.56681,µm,Segment,Segment Position,3,1,1,100000010,510000002202,
109468,6180.14,13.3287,µm,Segment,Segment Position,3,1,1,100000010,510000002363,
109675,5943,16.0598,µm,Segment,Segment Position,3,1,1,100000011,510000002515,
110555,5965.74,4.5464,µm,Segment,Segment Position,3,1,1,100000012,510000002709,
110469,6088.22,7.76532,µm,Segment,Segment Position,3,1,1,100000012,510000002869,
110068,5394.1,17.7668,µm,Segment,Segment Position,3,1,1,100000013,510000003039,
110008,5441.9,18.7984,µm,Segment,Segment Position,3,1,1,100000013,510000003355,
109848,5340.82,14.5747,µm,Segment,Segment Position,3,2,1,100000000,510000000204,
109797,5433.41,10.9098,µm,Segment,Segment Position,3,2,1,100000000,510000000259,
109865,5459.9,9.56226,µm,Segment,Segment Position,3,2,1,100000000,510000000294,
109897,5462.46,4.58663,µm,Segment,Segment Position,3,2,1,100000000,510000000330,
109836,5388.53,0.308838,µm,Segment,Segment Position,3,2,1,100000000,510000000414,
110129,5736.57,-0.458997,µm,Segment,Segment Position,3,2,1,100000001,510000000495,
110199,5681.44,9.67826,µm,Segment,Segment Position,3,2,1,100000001,510000000517,
109519,5118.22,13.417,µm,Segment,Segment Position,3,2,1,100000002,510000000663,
109347,5179.71,0.461019,µm,Segment,Segment Position,3,2,1,100000002,510000000755,
109384,5229.1,13.7298,µm,Segment,Segment Position,3,2,1,100000002,510000000773,
109788,5766.29,15.6185,µm,Segment,Segment Position,3,2,1,100000003,510000000884,
110013,6045.12,8.89244,µm,Segment,Segment Position,3,2,1,100000004,510000001204,
110477,5905,7.1515,µm,Segment,Segment Position,3,2,1,100000005,510000001517,
110490,5844.04,12.437,µm,Segment,Segment Position,3,2,1,100000005,510000001563,
110360,5751.32,4.24113,µm,Segment,Segment Position,3,2,1,100000005,510000001599,
109452,5650.45,12.1645,µm,Segment,Segment Position,3,2,1,100000006,510000001744,
109414,5605.03,18.9196,µm,Segment,Segment Position,3,2,1,100000006,510000001769,
109505,5580.87,13.2808,µm,Segment,Segment Position,3,2,1,100000006,510000001778,
109122,5723.62,18.3786,µm,Segment,Segment Position,3,2,1,100000007,510000001850,
109148,5665.87,18.4358,µm,Segment,Segment Position,3,2,1,100000007,510000001953,
109287,6252.89,8.81562,µm,Segment,Segment Position,3,2,1,100000008,510000002040,
109234,6288.46,-5.96002,µm,Segment,Segment Position,3,2,1,100000008,510000002056,
110212,6112.48,18.0364,µm,Segment,Segment Position,3,2,1,100000009,510000002143,
110171,6088.15,15.4557,µm,Segment,Segment Position,3,2,1,100000009,510000002151,
109566,6349.71,10.321,µm,Segment,Segment Position,3,2,1,100000010,510000002226,
109483,6320.39,-4.48407,µm,Segment,Segment Position,3,2,1,100000010,510000002281,
109474,6178.98,15.5823,µm,Segment,Segment Position,3,2,1,100000010,510000002365,
