
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,2,2,1,100000002,510000000726,
0,s,Segment,4,2,1,100000002,510000000743,
0,s,Segment,3,2,1,100000002,510000000755,
0,s,Segment,1,1,1,100000002,510000000760,
0,s,Segment,3,1,1,100000002,510000000765,
0,s,Segment,3,2,1,100000002,510000000773,
0,s,Segment,2,2,1,100000002,510000000783,
0,s,Segment,2,2,1,100000002,510000000798,
0,s,Segment,1,1,1,100000002,510000000824,
0,s,Segment,2,2,1,100000002,510000000832,
0,s,Segment,2,1,1,100000003,510000000846,
0,s,Segment,0,1,1,100000003,510000000855,
0,s,Segment,1,1,1,100000003,510000000857,
0,s,Segment,3,2,1,100000003,510000000884,
0,s,Segment,4,2,1,100000003,510000000886,
0,s,Segment,3,3,1,100000003,510000000893,
0,s,Segment,4,3,1,100000003,510000000899,
0,s,Segment,4,4,1,100000003,510000000907,
0,s,Segment,2,3,1,100000003,510000000910,
0,s,Segment,3,3,1,100000003,510000000912,
0,s,Segment,3,4,1,100000003,510000000934,
0,s,Segment,8,4,1,100000003,510000000951,
0,s,Segment,8,5,1,100000003,510000000961,
0,s,Segment,8,5,1,100000003,510000000979,
0,s,Segment,9,5,1,100000003,510000000986,
0,s,Segment,8,6,1,100000003,510000000995,
0,s,Segment,9,6,1,100000003,510000000997,
0,s,Segment,6,5,1,100000003,510000001012,
0,s,Segment,5,4,1,100000003,510000001037,
0,s,Segment,4,4,1,100000003,510000001057,
0,s,Segment,5,5,1,100000003,510000001060,
0,s,Segment,6,5,1,100000003,510000001062,
0,s,Segment,9,7,1,100000003,510000001072,
0,s,Segment,9,6,1,100000003,510000001077,
0,s,Segment,7,5,1,100000003,510000001085,
0,s,Segment,2,3,1,100000003,510000001099,
0,s,Segment,2,2,1,100000003,510000001118,
0,s,Segment,1,2,1,100000003,510000001127,
0,s,Segment,4,3,1,100000003,510000001138,
0,s,Segment,1,2,1,100000003,510000001158,
0,s,Segment,1,1,1,100000004,510000001175,
0,s,Segment,2,2,1,100000004,510000001196,
0,s,Segment,3,2,1,100000004,510000001204,
0,s,Segment,3,3,1,100000004,510000001211,
0,s,Segment,1,2,1,100000004,510000001218,
0,s,Segment,1,1,1,100000004,510000001242,
0,s,Segment,2,1,1,100000004,510000001244,
0,s,Segment,2,3,1,100000004,510000001259,
0,s,Segment,2,3,1,100000004,510000001270,
0,s,Segment,3,3,1,100000004,510000001272,
0,s,Segment,4,3,1,100000004,510000001275,
0,s,Segment,4,4,1,100000004,510000001293,
0,s,Segment,2,2,1,100000004,510000001302,
0,s,Segment,3,4,1,100000004,510000001319,
0,s,Segment,1,1,1,100000005,510000001337,
0,s,Segment,1,1,1,100000005,510000001375,
0,s,Segment,2,1,1,100000005,510000001403,
0,s,Segment,1,1,1,100000005,510000001419,
0,s,Segment,1,1,1,100000005,510000001434,
0,s,Segment,1,1,1,100000005,510000001466,
0,s,Segment,2,1,1,100000005,510000001468,
0,s,Segment,3,1,1,100000005,510000001470,
0,s,Segment,2,2,1,100000005,510000001515,
0,s,Segment,3,2,1,100000005,510000001517,
0,s,Segment,3,3,1,100000005,510000001545,
0,s,Segment,3,2,1,100000005,510000001563,
0,s,Segment,2,2,1,100000005,510000001589,
0,s,Segment,3,2,1,100000005,510000001599,
0,s,Segment,3,3,1,100000005,510000001611,
0,s,Segment,2,1,1,100000006,510000001633,
0,s,Segment,2,2,1,100000006,510000001648,
0,s,Segment,2,2,1,100000006,510000001680,
0,s,Segment,2,1,1,100000006,510000001689,
0,s,Segment,3,1,1,100000006,510000001692,
0,s,Segment,2,2,1,100000006,510000001734,
0,s,Segment,3,2,1,100000006,510000001744,
0,s,Segment,3,3,1,100000006,510000001753,
