
Segment Intensity Median Ch=1 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
187.125,,Segment,1,2,Image 1,2,1,100000000,510000000007,
255,,Segment,1,1,Image 1,1,1,100000000,510000000045,
255,,Segment,1,2,Image 1,1,1,100000000,510000000051,
210.125,,Segment,1,3,Image 1,1,1,100000000,510000000053,
153.25,,Segment,1,2,Image 1,2,1,100000000,510000000095,
255,,Segment,1,1,Image 1,1,1,100000000,510000000138,
215.25,,Segment,1,2,Image 1,1,1,100000000,510000000141,
196.25,,Segment,1,2,Image 1,2,1,100000000,510000000158,
221.125,,Segment,1,2,Image 1,2,1,100000000,510000000189,
178.125,,Segment,1,3,Image 1,2,1,100000000,510000000204,
121.125,,Segment,1,3,Image 1,3,1,100000000,510000000217,
207.125,,Segment,1,3,Image 1,1,1,100000000,510000000232,
200.125,,Segment,1,3,Image 1,2,1,100000000,510000000259,
162.25,,Segment,1,3,Image 1,2,1,100000000,510000000294,
148.125,,Segment,1,3,Image 1,2,1,100000000,510000000330,
141.125,,Segment,1,3,Image 1,1,1,100000000,510000000372,
183.125,,Segment,1,3,Image 1,2,1,100000000,510000000414,
187.125,,Segment,1,3,Image 1,1,1,100000001,510000000431,
217.062,,Segment,1,4,Image 1,1,1,100000001,510000000447,
255,,Segment,1,1,Image 1,1,1,100000001,510000000450,
148.125,,Segment,1,2,Image 1,1,1,100000001,510000000454,
101.125,,Segment,1,3,Image 1,1,1,100000001,510000000457,
255,,Segment,1,1,Image 1,1,1,100000001,510000000474,
118.125,,Segment,1,2,Image 1,1,1,100000001,510000000481,
135.125,,Segment,1,3,Image 1,2,1,100000001,510000000495,
255,,Segment,1,1,Image 1,1,1,100000001,510000000505,
179.25,,Segment,1,3,Image 1,2,1,100000001,510000000517,
171.125,,Segment,1,4,Image 1,2,1,100000001,510000000524,
162.125,,Segment,1,2,Image 1,2,1,100000001,510000000529,
255,,Segment,1,1,Image 1,1,1,100000001,510000000540,
187.125,,Segment,1,2,Image 1,1,1,100000001,510000000543,
255,,Segment,1,1,Image 1,1,1,100000001,510000000562,
173.125,,Segment,1,2,Image 1,2,1,100000001,510000000570,
255,,Segment,1,1,Image 1,1,1,100000001,510000000573,
144.125,,Segment,1,2,Image 1,2,1,100000001,510000000580,
132.125,,Segment,1,2,Image 1,2,1,100000001,510000000594,
165.125,,Segment,1,4,Image 1,3,1,100000001,510000000599,
148.125,,Segment,1,4,Image 1,2,1,100000001,510000000610,
113.125,,Segment,1,2,Image 1,1,1,100000002,510000000616,
100.125,,Segment,1,3,Image 1,1,1,100000002,510000000635,
117.125,,Segment,1,3,Image 1,2,1,100000002,510000000663,
239.125,,Segment,1,1,Image 1,1,1,100000002,510000000685,
223.25,,Segment,1,2,Image 1,1,1,100000002,510000000709,
182.125,,Segment,1,3,Image 1,1,1,100000002,510000000711,
194.125,,Segment,1,4,Image 1,1,1,100000002,510000000716,
182.25,,Segment,1,2,Image 1,2,1,100000002,510000000726,
137.25,,Segment,1,4,Image 1,2,1,100000002,510000000743,
153.25,,Segment,1,3,Image 1,2,1,100000002,510000000755,
255,,Segment,1,1,Image 1,1,1,100000002,510000000760,
142.125,,Segment,1,3,Image 1,1,1,100000002,510000000765,
137.625,,Segment,1,3,Image 1,2,1,100000002,510000000773,
128.125,,Segment,1,2,Image 1,2,1,100000002,510000000783,
151.125,,Segment,1,2,Image 1,2,1,100000002,510000000798,
255,,Segment,1,1,Image 1,1,1,100000002,510000000824,
125.25,,Segment,1,2,Image 1,2,1,100000002,510000000832,
146.25,,Segment,1,2,Image 1,1,1,100000003,510000000846,
255,,Segment,1,0,Image 1,1,1,100000003,510000000855,
115.125,,Segment,1,1,Image 1,1,1,100000003,510000000857,
247.125,,Segment,1,3,Image 1,2,1,100000003,510000000884,
157.25,,Segment,1,4,Image 1,2,1,100000003,510000000886,
249.25,,Segment,1,3,Image 1,3,1,100000003,510000000893,
121.25,,Segment,1,4,Image 1,3,1,100000003,510000000899,
142.25,,Segment,1,4,Image 1,4,1,100000003,510000000907,
255,,Segment,1,2,Image 1,3,1,100000003,510000000910,
95.125,,Segment,1,3,Image 1,3,1,100000003,510000000912,
137.25,,Segment,1,3,Image 1,4,1,100000003,510000000934,
132.25,,Segment,1,8,Image 1,4,1,100000003,510000000951,
143.25,,Segment,1,8,Image 1,5,1,100000003,510000000961,
140.25,,Segment,1,8,Image 1,5,1,100000003,510000000979,
157.125,,Segment,1,9,Image 1,5,1,100000003,510000000986,
134.25,,Segment,1,8,Image 1,6,1,100000003,510000000995,
151.125,,Segment,1,9,Image 1,6,1,100000003,510000000997,
164.25,,Segment,1,6,Image 1,5,1,100000003,510000001012,
128.25,,Segment,1,5,Image 1,4,1,100000003,510000001037,
190.125,,Segment,1,4,Image 1,4,1,100000003,510000001057,
93.125,,Segment,1,5,Image 1,5,1,100000003,510000001060,
200.25,,Segment,1,6,Image 1,5,1,100000003,510000001062,
141.125,,Segment,1,9,Image 1,7,1,100000003,510000001072,
79.125,,Segment,1,9,Image 1,6,1,100000003,510000001077,
255,,Segment,1,7,Image 1,5,1,100000003,510000001085,
217.25,,Segment,1,2,Image 1,3,1,100000003,510000001099,
124.25,,Segment,1,2,Image 1,2,1,100000003,510000001118,
114.25,,Segment,1,1,Image 1,2,1,100000003,510000001127,
101.125,,Segment,1,4,Image 1,3,1,100000003,510000001138,
123.25,,Segment,1,1,Image 1,2,1,100000003,510000001158,
154.25,,Segment,1,1,Image 1,1,1,100000004,510000001175,
164.25,,Segment,1,2,Image 1,2,1,100000004,510000001196,
174.25,,Segment,1,3,Image 1,2,1,100000004,510000001204,
131.25,,Segment,1,3,Image 1,3,1,100000004,510000001211,
146.25,,Segment,1,1,Image 1,2,1,100000004,510000001218,
136.125,,Segment,1,1,Image 1,1,1,100000004,510000001242,
153.125,,Segment,1,2,Image 1,1,1,100000004,510000001244,
179.25,,Segment,1,2,Image 1,3,1,100000004,510000001259,
255,,Segment,1,2,Image 1,3,1,100000004,510000001270,
139.25,,Segment,1,3,Image 1,3,1,100000004,510000001272,
132.125,,Segment,1,4,Image 1,3,1,100000004,510000001275,
147.125,,Segment,1,4,Image 1,4,1,100000004,510000001293,
134.125,,Segment,1,2,Image 1,2,1,100000004,510000001302,
148.25,,Segment,1,3,Image 1,4,1,100000004,510000001319,
91.25,,Segment,1,1,Image 1,1,1,100000005,510000001337,
181.25,,Segment,1,1,Image 1,1,1,100000005,510000001375,
137.25,,Segment,1,2,Image 1,1,1,100000005,510000001403,
228.25,,Segment,1,1,Image 1,1,1,100000005,510000001419,
237.25,,Segment,1,1,Image 1,1,1,100000005,510000001434,
255,,Segment,1,1,Image 1,1,1,100000005,510000001466,
176.25,,Segment,1,2,Image 1,1,1,100000005,510000001468,
131.25,,Segment,1,3,Image 1,1,1,100000005,510000001470,
