
Segment Center Intensity Min Ch=1 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
107,,Segment,1,1,Image 1,1,1,100000000,510000000001,
78,,Segment,1,2,Image 1,2,1,100000000,510000000007,
249,,Segment,1,1,Image 1,1,1,100000000,510000000045,
255,,Segment,1,2,Image 1,1,1,100000000,510000000051,
100,,Segment,1,3,Image 1,1,1,100000000,510000000053,
87,,Segment,1,2,Image 1,2,1,100000000,510000000095,
88,,Segment,1,1,Image 1,1,1,100000000,510000000138,
34,,Segment,1,2,Image 1,1,1,100000000,510000000141,
51,,Segment,1,2,Image 1,2,1,100000000,510000000158,
151,,Segment,1,2,Image 1,2,1,100000000,510000000189,
111,,Segment,1,3,Image 1,2,1,100000000,510000000204,
75,,Segment,1,3,Image 1,3,1,100000000,510000000217,
136,,Segment,1,3,Image 1,1,1,100000000,510000000232,
70,,Segment,1,3,Image 1,2,1,100000000,510000000259,
43,,Segment,1,3,Image 1,2,1,100000000,510000000294,
68,,Segment,1,3,Image 1,2,1,100000000,510000000330,
79,,Segment,1,3,Image 1,1,1,100000000,510000000372,
70,,Segment,1,3,Image 1,2,1,100000000,510000000414,
99,,Segment,1,3,Image 1,1,1,100000001,510000000431,
216,,Segment,1,4,Image 1,1,1,100000001,510000000447,
255,,Segment,1,1,Image 1,1,1,100000001,510000000450,
62,,Segment,1,2,Image 1,1,1,100000001,510000000454,
40,,Segment,1,3,Image 1,1,1,100000001,510000000457,
108,,Segment,1,1,Image 1,1,1,100000001,510000000474,
59,,Segment,1,2,Image 1,1,1,100000001,510000000481,
53,,Segment,1,3,Image 1,2,1,100000001,510000000495,
55,,Segment,1,1,Image 1,1,1,100000001,510000000505,
51,,Segment,1,3,Image 1,2,1,100000001,510000000517,
129,,Segment,1,4,Image 1,2,1,100000001,510000000524,
106,,Segment,1,2,Image 1,2,1,100000001,510000000529,
54,,Segment,1,1,Image 1,1,1,100000001,510000000540,
75,,Segment,1,2,Image 1,1,1,100000001,510000000543,
90,,Segment,1,1,Image 1,1,1,100000001,510000000562,
131,,Segment,1,2,Image 1,2,1,100000001,510000000570,
75,,Segment,1,1,Image 1,1,1,100000001,510000000573,
67,,Segment,1,2,Image 1,2,1,100000001,510000000580,
108,,Segment,1,2,Image 1,2,1,100000001,510000000594,
87,,Segment,1,4,Image 1,3,1,100000001,510000000599,
51,,Segment,1,4,Image 1,2,1,100000001,510000000610,
76,,Segment,1,2,Image 1,1,1,100000002,510000000616,
49,,Segment,1,3,Image 1,1,1,100000002,510000000635,
53,,Segment,1,3,Image 1,2,1,100000002,510000000663,
119,,Segment,1,1,Image 1,1,1,100000002,510000000685,
236,,Segment,1,2,Image 1,1,1,100000002,510000000709,
185,,Segment,1,3,Image 1,1,1,100000002,510000000711,
185,,Segment,1,4,Image 1,1,1,100000002,510000000716,
60,,Segment,1,2,Image 1,2,1,100000002,510000000726,
94,,Segment,1,4,Image 1,2,1,100000002,510000000743,
106,,Segment,1,3,Image 1,2,1,100000002,510000000755,
125,,Segment,1,1,Image 1,1,1,100000002,510000000760,
98,,Segment,1,3,Image 1,1,1,100000002,510000000765,
98,,Segment,1,3,Image 1,2,1,100000002,510000000773,
58,,Segment,1,2,Image 1,2,1,100000002,510000000783,
73,,Segment,1,2,Image 1,2,1,100000002,510000000798,
37,,Segment,1,1,Image 1,1,1,100000002,510000000824,
16,,Segment,1,2,Image 1,2,1,100000002,510000000832,
144,,Segment,1,2,Image 1,1,1,100000003,510000000846,
255,,Segment,1,0,Image 1,1,1,100000003,510000000855,
81,,Segment,1,1,Image 1,1,1,100000003,510000000857,
208,,Segment,1,3,Image 1,2,1,100000003,510000000884,
146,,Segment,1,4,Image 1,2,1,100000003,510000000886,
232,,Segment,1,3,Image 1,3,1,100000003,510000000893,
83,,Segment,1,4,Image 1,3,1,100000003,510000000899,
177,,Segment,1,4,Image 1,4,1,100000003,510000000907,
255,,Segment,1,2,Image 1,3,1,100000003,510000000910,
80,,Segment,1,3,Image 1,3,1,100000003,510000000912,
59,,Segment,1,3,Image 1,4,1,100000003,510000000934,
75,,Segment,1,8,Image 1,4,1,100000003,510000000951,
103,,Segment,1,8,Image 1,5,1,100000003,510000000961,
77,,Segment,1,8,Image 1,5,1,100000003,510000000979,
131,,Segment,1,9,Image 1,5,1,100000003,510000000986,
77,,Segment,1,8,Image 1,6,1,100000003,510000000995,
43,,Segment,1,9,Image 1,6,1,100000003,510000000997,
83,,Segment,1,6,Image 1,5,1,100000003,510000001012,
17,,Segment,1,5,Image 1,4,1,100000003,510000001037,
53,,Segment,1,4,Image 1,4,1,100000003,510000001057,
88,,Segment,1,5,Image 1,5,1,100000003,510000001060,
0,,Segment,1,6,Image 1,5,1,100000003,510000001062,
30,,Segment,1,9,Image 1,7,1,100000003,510000001072,
12,,Segment,1,9,Image 1,6,1,100000003,510000001077,
52,,Segment,1,7,Image 1,5,1,100000003,510000001085,
117,,Segment,1,2,Image 1,3,1,100000003,510000001099,
57,,Segment,1,2,Image 1,2,1,100000003,510000001118,
62,,Segment,1,1,Image 1,2,1,100000003,510000001127,
72,,Segment,1,4,Image 1,3,1,100000003,510000001138,
37,,Segment,1,1,Image 1,2,1,100000003,510000001158,
92,,Segment,1,1,Image 1,1,1,100000004,510000001175,
0,,Segment,1,2,Image 1,2,1,100000004,510000001196,
201,,Segment,1,3,Image 1,2,1,100000004,510000001204,
109,,Segment,1,3,Image 1,3,1,100000004,510000001211,
75,,Segment,1,1,Image 1,2,1,100000004,510000001218,
164,,Segment,1,1,Image 1,1,1,100000004,510000001242,
86,,Segment,1,2,Image 1,1,1,100000004,510000001244,
63,,Segment,1,2,Image 1,3,1,100000004,510000001259,
136,,Segment,1,2,Image 1,3,1,100000004,510000001270,
123,,Segment,1,3,Image 1,3,1,100000004,510000001272,
114,,Segment,1,4,Image 1,3,1,100000004,510000001275,
96,,Segment,1,4,Image 1,4,1,100000004,510000001293,
59,,Segment,1,2,Image 1,2,1,100000004,510000001302,
108,,Segment,1,3,Image 1,4,1,100000004,510000001319,
72,,Segment,1,1,Image 1,1,1,100000005,510000001337,
47,,Segment,1,1,Image 1,1,1,100000005,510000001375,
114,,Segment,1,2,Image 1,1,1,100000005,510000001403,
65,,Segment,1,1,Image 1,1,1,100000005,510000001419,
46,,Segment,1,1,Image 1,1,1,100000005,510000001434,
197,,Segment,1,1,Image 1,1,1,100000005,510000001466,
168,,Segment,1,2,Image 1,1,1,100000005,510000001468,
35,,Segment,1,3,Image 1,1,1,100000005,510000001470,
120,,Segment,1,2,Image 1,2,1,100000005,510000001515,
5,,Segment,1,3,Image 1,2,1,100000005,510000001517,
9,,Segment,1,3,Image 1,3,1,100000005,510000001545,
76,,Segment,1,3,Image 1,2,1,100000005,510000001563,
67,,Segment,1,2,Image 1,2,1,100000005,510000001589,
12,,Segment,1,3,Image 1,2,1,100000005,510000001599,
27,,Segment,1,3,Image 1,3,1,100000005,510000001611,
104,,Segment,1,2,Image 1,1,1,100000006,510000001633,
80,,Segment,1,2,Image 1,2,1,100000006,510000001648,
51,,Segment,1,2,Image 1,2,1,100000006,510000001680,
140,,Segment,1,2,Image 1,1,1,100000006,510000001689,
83,,Segment,1,3,Image 1,1,1,100000006,510000001692,
123,,Segment,1,2,Image 1,2,1,100000006,510000001734,
69,,Segment,1,3,Image 1,2,1,100000006,510000001744,
100,,Segment,1,3,Image 1,3,1,100000006,510000001753,
52,,Segment,1,1,Image 1,1,1,100000006,510000001759,
6,,Segment,1,3,Image 1,2,1,100000006,510000001769,
63,,Segment,1,3,Image 1,2,1,100000006,510000001778,
52,,Segment,1,3,Image 1,3,1,100000006,510000001796,
120,,Segment,1,2,Image 1,1,1,100000007,510000001816,
92,,Segment,1,3,Image 1,1,1,100000007,510000001818,
153,,Segment,1,1,Image 1,1,1,100000007,510000001834,
120,,Segment,1,2,Image 1,2,1,100000007,510000001847,
119,,Segment,1,3,Image 1,2,1,100000007,510000001850,
77,,Segment,1,2,Image 1,1,1,100000007,510000001866,
85,,Segment,1,1,Image 1,1,1,100000007,510000001885,
100,,Segment,1,2,Image 1,1,1,100000007,510000001892,
88,,Segment,1,2,Image 1,2,1,100000007,510000001903,
105,,Segment,1,2,Image 1,2,1,100000007,510000001915,
61,,Segment,1,1,Image 1,1,1,100000007,510000001923,
79,,Segment,1,1,Image 1,1,1,100000007,510000001931,
196,,Segment,1,3,Image 1,3,1,100000007,510000001949,
84,,Segment,1,3,Image 1,2,1,100000007,510000001953,
37,,Segment,1,0,Image 1,1,1,100000008,510000001968,
216,,Segment,1,2,Image 1,1,1,100000008,510000001975,
96,,Segment,1,3,Image 1,1,1,100000008,510000001977,
58,,Segment,1,4,Image 1,1,1,100000008,510000001980,
66,,Segment,1,1,Image 1,2,1,100000008,510000001997,
63,,Segment,1,4,Image 1,2,1,100000008,510000002005,
71,,Segment,1,2,Image 1,2,1,100000008,510000002022,
151,,Segment,1,1,Image 1,2,1,100000008,510000002027,
128,,Segment,1,2,Image 1,2,1,100000008,510000002031,
171,,Segment,1,2,Image 1,2,1,100000008,510000002036,
126,,Segment,1,3,Image 1,2,1,100000008,510000002040,
58,,Segment,1,3,Image 1,3,1,100000008,510000002045,
39,,Segment,1,3,Image 1,2,1,100000008,510000002056,
64,,Segment,1,2,Image 1,2,1,100000008,510000002076,
78,,Segment,1,2,Image 1,3,1,100000008,510000002093,
120,,Segment,1,1,Image 1,2,1,100000009,510000002102,
70,,Segment,1,1,Image 1,2,1,100000009,510000002111,
190,,Segment,1,1,Image 1,1,1,100000009,510000002126,
64,,Segment,1,3,Image 1,1,1,100000009,510000002129,
61,,Segment,1,3,Image 1,2,1,100000009,510000002143,
72,,Segment,1,2,Image 1,2,1,100000009,510000002148,
111,,Segment,1,3,Image 1,2,1,100000009,510000002151,
31,,Segment,1,2,Image 1,2,1,100000009,510000002156,
85,,Segment,1,3,Image 1,3,1,100000009,510000002165,
86,,Segment,1,1,Image 1,2,1,100000009,510000002171,
98,,Segment,1,2,Image 1,2,1,100000009,510000002176,
60,,Segment,1,2,Image 1,3,1,100000009,510000002180,
163,,Segment,1,1,Image 1,1,1,100000010,510000002194,
153,,Segment,1,2,Image 1,1,1,100000010,510000002196,
41,,Segment,1,3,Image 1,1,1,100000010,510000002202,
130,,Segment,1,2,Image 1,2,1,100000010,510000002218,
107,,Segment,1,3,Image 1,2,1,100000010,510000002226,
147,,Segment,1,1,Image 1,2,1,100000010,510000002246,
87,,Segment,1,2,Image 1,3,1,100000010,510000002248,
86,,Segment,1,3,Image 1,3,1,100000010,510000002263,
147,,Segment,1,2,Image 1,2,1,100000010,510000002278,
112,,Segment,1,3,Image 1,2,1,100000010,510000002281,
102,,Segment,1,4,Image 1,2,1,100000010,510000002290,
71,,Segment,1,3,Image 1,3,1,100000010,510000002302,
62,,Segment,1,4,Image 1,3,1,100000010,510000002331,
124,,Segment,1,1,Image 1,1,1,100000010,510000002342,
124,,Segment,1,2,Image 1,1,1,100000010,510000002358,
