
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
13,,Filament,1,100000000,
15,,Filament,1,100000001,
13,,Filament,1,100000002,
22,,Filament,1,100000003,
10,,Filament,1,100000004,
11,,Filament,1,100000005,
10,,Filament,1,100000006,
11,,Filament,1,100000007,
11,,Filament,1,100000008,
9,,Filament,1,100000009,
21,,Filament,1,100000010,
12,,Filament,1,100000011,
16,,Filament,1,100000012,
18,,Filament,1,100000013,
